38	32	29	12	33	13	14	28	30	39	31	12	31	39	30	28	14	13	33	12	29	32	38	34	40	37	35	11	36	10	9	8	7	6	5	4	3	2	2	3	4	5	6	7	8	9	10	36	11	35	37	40	34	
34	38	32	29	12	33	13	14	28	30	39	31	13	31	39	30	28	14	13	33	12	29	32	38	34	40	37	35	11	36	10	9	8	7	6	5	4	3	2	2	3	4	5	6	7	8	9	10	36	11	35	37	40	
40	34	38	32	29	12	33	13	14	28	30	39	31	14	31	39	30	28	14	13	33	12	29	32	38	34	40	37	35	11	36	10	9	8	7	6	5	4	3	2	2	3	4	5	6	7	8	9	10	36	1	35	37	
37	40	34	38	32	29	12	33	13	14	28	30	39	31	15	31	39	30	28	14	13	33	12	29	32	38	34	40	37	35	11	36	10	9	8	7	6	5	4	3	2	1	1	1	1	1	1	1	1	1	36	11	35	
35	37	40	34	38	32	29	12	33	13	14	28	30	39	31	16	31	39	30	28	14	13	33	12	29	32	38	34	40	37	35	11	36	10	9	8	7	6	5	4	3	1	2	3	4	5	6	7	8	9	10	36	11	
11	35	37	40	34	38	32	29	12	33	13	14	28	30	39	31	17	31	39	30	28	14	13	33	12	29	32	38	34	40	37	35	11	36	10	9	8	7	6	5	4	3	2	2	3	4	5	6	7	8	9	10	36	
36	11	35	37	40	34	38	32	29	12	33	13	14	28	30	39	31	18	31	39	30	28	14	13	33	12	29	32	38	34	40	37	35	11	36	10	9	8	7	6	5	4	1	2	2	3	4	5	6	7	8	9	10	
10	36	11	35	37	40	34	38	32	29	12	33	1	1	28	30	39	31	19	31	39	30	28	14	13	33	12	29	32	38	34	40	37	35	11	1	10	9	8	7	6	5	4	3	2	2	3	4	5	6	7	8	9	
9	10	36	11	35	37	40	34	38	32	29	1	33	13	14	28	30	39	31	20	31	39	30	28	14	13	33	12	1	32	38	34	40	37	1	11	36	10	9	8	7	6	5	1	3	2	2	3	4	5	6	7	8	
8	9	10	36	11	35	37	40	34	38	32	29	12	33	13	14	28	30	39	31	21	31	39	30	28	14	13	33	12	29	32	38	34	40	37	35	11	36	10	9	8	7	6	5	4	3	2	2	3	4	5	6	7	
7	8	9	10	36	11	35	37	40	34	38	32	29	12	33	13	14	28	30	39	31	22	31	39	30	28	14	13	33	12	29	1	38	1	40	37	35	11	36	10	9	8	7	6	1	4	3	2	2	3	4	5	6	
6	7	8	9	10	36	11	35	37	40	34	38	32	29	12	33	13	14	28	30	39	31	23	31	39	30	28	14	13	33	12	29	32	38	34	40	1	35	11	36	10	9	8	7	6	5	4	3	2	2	3	4	5	
5	6	7	8	9	10	36	11	35	37	40	34	38	32	29	12	33	13	14	28	30	39	31	24	31	39	30	1	14	13	33	12	29	32	38	34	40	37	35	11	36	10	9	8	7	1	5	4	3	2	2	3	4	
4	5	6	7	8	9	10	36	11	35	37	40	34	38	32	29	12	33	13	14	28	30	39	31	25	31	39	30	28	14	13	33	12	29	32	38	34	40	37	35	11	36	10	9	8	7	6	5	4	3	2	2	3	
3	4	5	6	7	8	9	10	36	11	35	37	40	34	38	32	29	12	33	13	14	28	30	39	31	26	31	39	30	28	14	13	1	12	29	32	38	34	40	37	35	11	36	10	9	8	1	6	5	4	3	2	2	
2	3	4	5	6	7	8	9	10	36	1	35	37	40	34	38	32	29	12	33	13	14	28	30	39	31	27	31	39	1	28	14	13	33	12	29	32	1	34	1	37	35	11	36	10	9	8	7	6	5	4	3	2	
2	1	1	1	1	1	1	1	1	1	36	11	35	37	40	34	38	32	29	12	33	13	14	28	30	39	31	28	31	39	30	28	14	13	33	12	29	32	38	34	40	37	35	11	36	10	9	1	7	6	5	4	3	
3	1	2	3	4	5	6	7	8	9	10	36	11	35	37	40	34	38	32	29	12	33	13	14	28	30	39	31	29	31	39	30	28	14	13	33	12	29	32	38	34	40	37	35	11	36	10	9	8	7	6	5	4	
4	3	2	2	3	4	5	6	7	8	9	10	36	11	35	37	40	34	38	32	29	12	33	13	14	28	30	39	31	30	1	39	30	28	14	13	33	12	29	32	38	34	40	37	35	11	36	10	1	8	7	6	5	
5	4	1	2	2	3	4	5	6	7	8	9	10	36	11	35	37	40	34	38	32	29	12	33	13	14	28	30	39	31	31	31	39	30	28	14	13	33	12	29	32	38	34	40	37	35	11	36	10	9	8	7	6	
6	5	4	3	2	2	3	4	5	6	7	8	9	10	36	11	35	37	40	34	38	32	29	12	33	13	14	1	30	39	1	32	31	39	30	28	14	13	33	12	29	32	38	34	40	37	35	11	36	1	9	8	7	
7	6	5	1	3	2	2	3	4	5	6	7	8	9	10	36	11	35	37	40	34	38	32	29	12	33	13	14	28	1	39	31	33	31	39	30	28	14	13	33	12	29	32	38	34	40	37	35	11	36	10	9	8	
8	7	6	5	4	3	2	2	3	4	5	6	7	8	9	10	36	11	35	37	40	34	38	32	29	12	33	13	14	28	30	39	31	34	31	39	30	28	14	13	33	12	29	32	38	34	40	37	35	11	36	10	9	
9	8	7	6	1	4	3	2	2	3	4	5	6	7	8	9	10	36	11	35	37	40	34	38	32	29	12	33	13	14	28	30	39	31	35	31	39	30	28	14	13	33	12	29	32	38	34	40	37	35	1	36	10	
10	9	8	7	6	5	4	3	2	2	3	4	5	6	7	8	9	10	36	11	35	37	40	34	38	32	29	12	33	13	14	28	30	39	31	36	31	39	30	28	14	13	33	12	29	32	38	34	40	37	35	11	36	
36	10	9	8	7	1	5	4	3	2	2	3	4	5	6	7	8	9	10	36	11	35	37	40	34	38	32	29	12	33	13	14	28	30	39	31	37	31	1	30	28	14	13	33	12	29	32	38	34	40	37	35	11	
11	36	10	9	8	7	6	5	4	3	2	2	3	4	5	6	7	8	9	10	36	11	35	37	40	34	38	32	1	12	33	13	14	28	30	39	31	38	31	39	30	28	14	13	33	12	29	32	38	34	40	37	35	
35	11	36	10	9	8	1	6	5	4	3	2	2	3	4	5	6	7	8	9	10	36	11	35	37	40	34	38	32	29	12	33	13	14	28	30	39	31	39	31	39	30	28	14	13	33	12	29	32	38	34	40	37	
37	35	11	36	10	9	8	7	6	5	4	3	2	2	3	4	5	6	7	8	9	10	36	11	35	37	40	34	38	32	29	12	1	13	14	28	30	39	31	40	31	39	30	28	14	13	33	12	29	32	38	34	40	
40	37	35	11	36	10	9	1	7	6	5	4	3	2	2	3	4	5	6	7	8	9	10	36	11	35	37	40	34	38	32	29	12	33	13	14	28	30	1	31	1	31	39	30	28	14	13	33	12	29	32	38	34	
34	40	37	35	11	36	10	9	8	7	6	5	4	3	2	2	3	4	5	6	7	8	9	10	36	11	35	37	40	34	38	1	29	12	33	13	14	28	30	39	31	2	31	39	30	28	14	13	33	12	29	32	38	
38	34	40	37	35	11	36	10	1	8	7	6	5	4	3	2	2	3	4	5	6	7	8	9	10	36	11	35	37	40	34	38	32	29	12	33	13	14	28	30	39	31	3	31	39	30	28	14	13	33	12	29	32	
32	38	34	40	37	35	11	36	10	9	8	7	6	5	4	3	2	2	3	4	5	6	7	8	9	10	36	11	35	37	40	34	38	32	29	12	33	13	14	28	30	39	31	4	31	39	30	28	14	13	33	1	29	
29	32	38	34	40	37	35	11	36	1	9	8	7	6	5	4	3	2	2	3	4	5	6	7	8	9	10	36	11	35	37	40	34	38	32	29	12	33	13	14	28	30	39	31	5	31	39	30	28	14	13	33	12	
12	29	32	38	34	40	37	35	11	36	10	9	8	7	6	5	4	3	2	2	3	4	5	6	7	8	9	10	36	11	35	37	40	1	38	32	29	12	33	13	14	28	30	39	31	6	31	39	30	28	14	13	33	
33	12	29	32	38	34	40	37	35	11	36	10	9	8	7	6	5	4	3	2	2	3	4	5	6	7	8	9	10	36	11	35	37	40	34	38	32	29	12	33	13	14	28	30	39	31	7	31	39	30	28	14	1	
