1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	1	2	3	4	5	6	7	8	9	
1	24	10	9	8	20	27	22	23	7	26	21	28	6	25	5	4	3	2	2	3	4	5	25	6	28	21	26	7	23	22	27	20	8	9	10	24	
24	2	24	10	9	8	20	27	22	23	7	26	21	28	6	25	5	4	3	2	2	3	4	5	1	6	28	21	26	7	23	22	27	20	8	9	10	
10	24	3	24	10	9	8	20	27	22	23	7	26	21	28	6	25	5	4	3	2	2	3	4	5	25	6	1	21	26	7	23	22	27	20	1	1	
9	10	24	4	24	10	9	1	20	27	22	23	7	26	21	28	6	25	5	4	3	2	2	3	4	5	25	6	28	21	26	7	23	22	27	20	8	
8	9	10	24	5	24	10	9	8	20	27	22	23	7	26	21	28	6	25	5	4	3	2	2	3	4	5	25	6	28	21	26	7	23	22	27	20	
20	8	9	10	24	6	24	10	1	8	20	27	22	23	7	26	21	28	6	25	5	4	3	2	2	3	4	5	25	6	28	21	26	7	23	22	27	
27	20	8	9	10	24	7	24	10	9	8	20	27	22	23	7	26	21	28	6	25	5	4	3	2	2	3	4	5	25	6	28	21	26	1	23	22	
22	27	20	8	9	10	24	8	24	1	9	8	20	27	22	23	7	26	21	28	6	25	5	4	3	2	2	3	4	5	25	6	28	21	26	7	23	
23	22	27	20	8	9	10	24	9	24	10	9	8	20	27	22	23	7	26	21	28	6	25	5	4	3	2	2	3	4	5	25	6	28	21	26	7	
7	23	22	27	20	8	9	10	24	10	24	10	9	8	20	27	22	23	7	26	1	28	6	25	5	4	3	2	2	3	4	5	25	1	28	21	26	
26	7	23	22	27	20	8	9	10	24	11	24	10	9	8	20	27	22	23	7	26	21	28	6	1	5	4	3	2	1	1	1	1	25	6	28	21	
21	26	7	23	22	27	20	1	1	1	24	12	24	10	9	8	20	27	22	23	7	26	21	28	6	25	5	4	3	1	2	3	4	5	25	6	28	
28	21	26	7	23	22	27	20	8	9	10	24	13	24	10	9	8	20	27	22	23	7	26	21	28	6	25	5	4	3	2	2	3	4	5	25	6	
6	28	21	26	7	23	22	27	20	8	9	10	24	14	24	10	9	8	20	27	22	23	7	26	21	28	6	25	5	4	1	2	2	3	4	5	25	
25	6	28	21	26	7	23	22	27	20	8	9	10	24	15	24	10	9	8	1	27	1	1	7	26	21	28	6	25	5	4	3	2	2	3	4	5	
5	25	6	28	21	26	1	23	22	27	20	8	9	10	24	16	24	10	9	8	20	27	22	23	7	1	21	1	6	25	5	1	3	2	2	3	4	
4	5	25	6	28	21	26	7	23	22	27	20	8	9	10	24	17	24	10	9	8	20	27	22	23	7	26	21	28	6	25	5	4	3	2	2	3	
3	4	5	25	6	28	21	26	7	23	22	27	20	8	9	10	24	18	24	10	9	8	20	27	22	23	7	26	21	28	6	25	1	4	3	2	2	
2	3	4	5	25	1	28	21	26	7	23	22	27	20	8	9	10	24	19	24	10	9	8	20	27	22	23	7	26	21	28	6	25	5	4	3	2	
2	1	1	1	1	25	6	28	21	26	7	23	22	27	20	8	9	10	24	20	24	10	9	8	20	27	22	23	7	26	21	28	6	25	5	4	3	
3	1	2	3	4	5	25	6	28	21	26	7	23	22	27	20	8	9	10	24	21	24	10	9	8	20	1	22	23	7	26	21	28	1	25	5	4	
4	3	2	2	3	4	5	25	6	28	21	26	7	23	22	27	20	8	9	10	24	22	24	10	9	8	20	27	22	23	7	26	21	28	6	25	5	
5	4	1	2	2	3	4	5	25	6	28	21	26	7	23	22	27	20	8	9	10	24	23	1	10	9	8	20	27	22	23	7	26	21	28	6	25	
25	5	4	3	2	2	3	4	5	25	6	28	21	26	7	23	22	27	20	8	9	10	24	24	24	10	9	8	20	27	22	23	7	26	21	28	6	
6	25	5	1	3	2	2	3	4	5	25	6	28	21	26	7	23	22	27	1	8	9	10	1	25	24	10	9	8	20	27	22	23	7	26	21	28	
28	6	25	5	4	3	2	2	3	4	5	25	6	28	21	26	7	23	22	27	20	8	9	10	24	26	24	10	9	8	20	27	22	23	1	26	21	
21	28	6	25	1	4	3	2	2	3	4	5	25	6	28	21	26	7	23	22	27	20	8	9	10	24	27	24	10	9	8	20	27	22	23	7	26	
26	21	28	6	25	5	4	3	2	2	3	4	5	25	6	28	21	26	7	23	22	27	20	8	9	10	24	28	24	10	9	8	20	27	22	23	7	
7	26	21	28	6	25	5	4	3	2	2	3	4	5	25	6	28	21	26	7	23	1	27	20	8	9	10	24	1	24	10	9	8	20	27	22	23	
23	7	26	21	28	1	25	5	4	3	2	2	3	4	5	25	6	28	21	26	7	23	22	27	20	8	9	10	24	2	24	10	9	8	20	27	22	
22	23	7	26	21	28	6	25	5	4	3	2	2	3	4	5	25	6	28	21	26	7	1	22	27	20	8	9	10	24	3	24	10	9	8	20	27	
27	22	23	7	26	21	28	6	25	5	4	3	2	2	3	4	5	25	6	28	1	26	7	23	22	27	20	8	9	10	24	4	24	10	9	1	20	
