1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	1	2	3	4	5	6	7	8	9	10	11	12	
1	21	24	22	25	23	10	20	7	11	12	9	8	17	19	13	25	24	18	16	6	23	22	17	21	15	16	20	19	18	15	17	16	14	15	14	14	
2	2	21	24	22	25	23	10	20	7	1	1	9	8	17	19	13	25	24	18	16	6	1	22	17	21	15	16	20	19	18	15	17	16	14	15	14	
2	1	3	21	24	22	25	23	10	20	7	11	12	9	8	17	19	13	25	24	18	16	6	23	22	17	21	15	16	20	19	18	15	17	16	14	15	
3	1	2	4	21	24	22	25	23	1	20	7	11	12	9	8	1	19	13	25	24	18	16	6	23	22	17	21	15	16	20	19	18	15	17	16	14	
2	3	2	2	5	21	24	22	25	23	10	20	7	11	12	9	8	17	1	13	25	24	18	16	6	23	22	17	21	15	16	20	19	18	15	17	16	
4	1	1	2	2	6	21	24	22	25	23	10	20	7	11	12	9	8	17	19	13	25	24	18	16	6	23	22	17	21	15	16	20	19	18	15	17	
5	4	2	3	2	2	7	21	24	22	25	23	10	20	7	11	12	9	8	17	19	13	25	1	18	16	6	23	22	17	21	15	16	20	19	18	15	
3	5	4	2	3	2	2	8	21	24	22	25	23	10	20	7	11	12	9	8	17	19	13	25	24	18	16	6	23	22	17	21	15	16	20	19	18	
6	3	5	1	2	3	2	2	9	21	24	22	25	23	10	20	7	11	12	9	8	17	19	13	1	24	18	16	6	23	22	17	21	15	16	20	19	
7	6	1	5	4	2	3	2	2	10	21	24	22	25	23	10	20	7	11	12	9	8	17	19	13	25	24	18	16	6	23	22	17	21	15	16	20	
8	7	6	3	1	4	2	3	2	2	11	21	24	22	25	23	10	20	7	11	12	9	8	17	19	13	25	24	18	16	1	23	22	17	21	15	16	
4	8	7	6	3	5	4	2	3	2	2	12	21	24	22	25	23	10	20	7	11	12	9	8	17	19	13	25	24	18	16	6	23	22	17	21	15	
3	4	8	7	6	3	5	4	2	3	2	2	13	21	24	22	25	23	10	1	7	11	12	9	8	17	19	13	25	24	18	16	6	23	22	17	21	
9	3	4	8	7	1	3	5	4	2	3	2	2	14	21	24	22	25	23	10	20	7	11	12	9	8	17	19	13	25	24	18	16	6	23	22	17	
5	9	1	1	8	7	6	3	5	4	2	3	2	2	15	21	24	22	25	23	10	20	7	11	12	9	8	17	19	13	25	24	18	16	6	23	22	
10	5	9	3	4	8	1	6	3	5	4	2	3	2	2	16	21	24	22	25	23	10	20	7	11	12	9	8	17	19	13	25	24	18	16	6	23	
11	10	5	9	3	4	8	7	6	3	5	4	2	3	2	2	17	21	24	22	25	23	10	20	7	11	12	9	8	17	19	13	25	24	18	16	6	
18	11	10	5	9	3	4	1	7	6	3	5	4	2	3	2	2	18	21	24	22	25	1	10	20	7	11	12	9	8	17	19	13	25	24	18	16	
4	18	11	10	1	9	3	4	8	7	6	3	5	4	2	3	2	2	19	21	24	1	25	23	10	20	7	11	12	9	8	17	19	13	25	24	18	
6	4	18	11	10	5	9	3	4	8	7	6	3	5	4	2	3	2	2	20	1	24	22	25	23	10	20	7	11	12	9	8	17	19	13	25	24	
12	6	4	18	11	10	5	9	3	4	8	7	6	3	5	4	2	3	2	2	21	21	24	22	1	23	10	20	7	11	12	9	1	17	19	13	25	
13	12	6	1	18	11	10	5	1	3	4	8	7	6	3	5	4	2	3	2	2	22	21	1	22	25	23	10	20	7	11	12	9	8	17	19	13	
25	13	12	6	4	18	11	10	5	9	3	4	8	7	6	3	5	4	2	3	2	2	23	21	24	22	25	23	10	20	7	11	12	1	8	17	19	
