1	2	3	4	
2	3	4	5	
3	4	5	6	
4	5	6	7	
5	6	7	8	
6	7	8	9	
7	8	9	10	
8	9	11	11	
9	10	10	1	
10	11	1	2	
11	1	2	3	
8	nuke	3	6	1	
1	3	5	7	
2	4	6	8	
3	5	7	9	
4	6	8	10	
5	7	9	11	
6	8	11	1	
7	9	10	2	
8	10	1	3	
9	11	2	4	
10	1	3	5	
11	2	4	6	
5	8	nuke	3	1	
1	4	7	10	
3	6	9	1	
4	7	11	2	
6	9	1	4	
7	10	2	5	
9	1	4	7	
10	2	5	8	
11	3	6	9	
2	5	8	nuke	1	
1	5	9	2	
2	6	11	3	
3	7	10	4	
4	8	1	5	
5	9	2	6	
6	10	3	7	
7	11	4	8	
8	1	5	9	
9	2	6	10	
10	3	7	11	
11	4	8	1	
nuke	11	10	11	1	
