1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19	1	1	1	1	1	1	1	1	
1	2	2	2	19	2	2	2	2	2	2	2	2	2	3	2	2	1	2	2	2	2	2	2	2	2	
1	3	3	3	2	3	3	3	3	3	3	3	3	3	4	3	3	2	3	3	19	3	3	3	3	3	
2	4	4	4	3	4	4	4	19	4	4	4	4	4	1	4	4	3	4	4	3	4	4	4	4	4	
2	5	5	5	4	5	5	5	4	5	5	5	5	5	5	5	5	4	5	5	4	5	5	19	5	5	
2	6	6	6	5	6	6	6	5	6	6	19	6	6	6	6	6	5	6	6	5	6	6	5	6	6	
19	7	7	7	6	7	7	7	6	7	7	6	7	7	1	7	7	6	7	7	6	7	7	6	7	7	
3	8	8	8	20	8	8	8	3	8	8	4	8	8	2	8	8	4	8	8	5	8	8	6	8	8	
3	9	9	9	2	9	9	9	20	9	9	5	9	9	3	9	9	5	9	9	6	9	9	1	9	9	
3	10	10	10	3	10	10	10	4	10	10	20	10	10	4	10	10	6	10	10	1	10	10	2	10	10	
4	11	11	11	4	11	11	11	5	11	11	6	11	11	2	11	11	20	11	11	2	11	11	3	11	11	
4	12	12	12	5	12	12	12	6	12	12	1	12	12	5	12	12	1	12	12	20	12	12	4	12	12	
4	13	13	13	6	13	13	13	1	13	13	2	13	13	6	13	13	2	13	13	3	13	13	20	13	13	
20	14	14	14	1	14	14	14	2	14	14	3	14	14	2	14	14	3	14	14	4	14	14	5	14	14	
5	15	15	15	2	15	15	15	4	15	15	6	15	15	19	15	15	1	15	15	3	15	15	5	15	15	
5	16	16	16	3	16	16	16	5	16	16	1	16	16	3	16	16	2	16	16	4	16	16	6	16	16	
5	17	17	17	4	17	17	17	6	17	17	2	17	17	4	17	17	3	17	17	5	17	17	1	17	17	
6	18	18	18	5	18	18	18	1	18	18	3	18	18	20	18	18	4	18	18	6	18	18	2	18	18	
6	19	19	19	6	19	19	19	2	19	19	4	19	19	5	19	19	5	19	19	1	19	19	3	19	19	
6	20	20	20	1	20	20	20	3	20	20	5	20	20	6	20	20	6	20	20	2	20	20	4	20	20	
7	2	3	4	7	5	6	7	7	8	9	7	10	11	7	12	13	19	14	15	7	16	17	7	18	19	
7	3	4	5	19	6	7	8	8	9	10	8	11	12	9	13	14	7	15	16	8	17	18	8	19	20	
7	4	5	6	8	7	8	9	9	10	11	9	12	13	10	14	15	8	16	17	19	18	19	9	20	1	
8	5	6	7	9	8	9	10	19	11	12	10	13	14	7	15	16	9	17	18	9	19	20	10	1	2	
8	6	7	8	10	9	10	11	10	12	13	11	14	15	11	16	17	10	18	19	10	20	1	19	2	3	
