6	22	22	22	8	22	22	22	2	22	22	22	5	22	22	4	22	22	7	22	22	8	22	22	1	22	22	5	22	22	3	22	22	
7	23	23	23	1	23	23	23	3	23	23	23	5	23	23	5	23	23	8	23	23	6	23	23	2	23	23	6	23	23	4	23	23	
8	24	24	24	2	24	24	24	4	24	24	24	6	24	24	6	24	24	1	24	24	5	24	24	3	24	24	5	24	24	5	24	24	
9	1	2	3	9	4	5	6	9	7	8	9	15	10	11	9	12	13	9	14	15	10	16	17	9	18	19	9	20	21	9	22	23	
9	2	3	4	10	5	6	7	10	8	9	10	9	11	12	10	13	14	10	15	16	9	17	18	10	19	20	15	21	22	10	23	24	
9	3	4	5	11	6	7	8	11	9	10	11	10	12	13	11	14	15	11	16	17	15	18	19	11	20	21	10	22	23	11	24	1	
10	4	5	6	12	7	8	9	12	10	11	12	10	13	14	12	15	16	12	17	18	10	19	20	12	21	22	16	23	24	12	1	2	
10	5	6	7	13	8	9	10	13	11	12	13	16	14	15	13	16	17	13	18	19	9	20	21	13	22	23	10	24	1	13	2	3	
10	6	7	8	14	9	10	11	14	12	13	14	9	15	16	14	17	18	14	19	20	16	21	22	14	23	24	9	1	2	14	3	4	
15	7	8	9	15	10	11	12	15	13	14	15	9	16	17	15	18	19	15	20	21	10	22	23	15	24	1	10	2	3	15	4	5	
16	8	9	10	16	11	12	13	16	14	15	16	10	17	18	16	19	20	16	21	22	9	23	24	16	1	2	9	3	4	16	5	6	
11	9	10	11	10	12	13	14	11	15	16	17	15	18	19	12	20	21	13	22	23	12	24	1	14	2	3	11	4	5	15	6	7	
11	10	11	12	11	13	14	15	12	16	17	18	11	19	20	13	21	22	14	23	24	11	1	2	15	3	4	15	5	6	16	7	8	
11	11	12	13	12	14	15	16	13	17	18	19	12	20	21	14	22	23	15	24	1	15	2	3	16	4	5	12	6	7	9	8	9	
12	12	13	14	13	15	16	17	14	18	19	20	12	21	22	15	23	24	16	1	2	12	3	4	9	5	6	16	7	8	10	9	10	
12	13	14	15	14	16	17	18	15	19	20	21	16	22	23	16	24	1	9	2	3	11	4	5	10	6	7	12	8	9	11	10	11	
12	14	15	16	15	17	18	19	16	20	21	22	11	23	24	9	1	2	10	3	4	16	5	6	11	7	8	11	9	10	12	11	12	
15	15	16	17	16	18	19	20	9	21	22	23	11	24	1	10	2	3	11	4	5	12	6	7	12	8	9	12	10	11	13	12	13	
16	16	17	18	9	19	20	21	10	22	23	24	12	1	2	11	3	4	12	5	6	11	7	8	13	9	10	11	11	12	14	13	14	
13	17	18	19	11	20	21	22	13	23	24	1	15	2	3	15	4	5	10	6	7	14	8	9	12	10	11	13	12	13	14	14	15	
13	18	19	20	12	21	22	23	14	24	1	2	13	3	4	16	5	6	11	7	8	13	9	10	13	11	12	15	13	14	15	15	16	
13	19	20	21	13	22	23	24	15	1	2	3	14	4	5	9	6	7	12	8	9	15	10	11	14	12	13	14	14	15	16	16	17	
14	20	21	22	14	23	24	1	16	2	3	4	14	5	6	10	7	8	13	9	10	14	11	12	15	13	14	16	15	16	9	17	18	
14	21	22	23	15	24	1	2	9	3	4	5	16	6	7	11	8	9	14	10	11	13	12	13	16	14	15	14	16	17	10	18	19	
14	22	23	24	16	1	2	3	10	4	5	6	13	7	8	12	9	10	15	11	12	16	13	14	9	15	16	13	17	18	11	19	20	
15	23	24	1	9	2	3	4	11	5	6	7	13	8	9	13	10	11	16	12	13	14	14	15	10	16	17	14	18	19	12	20	21	
16	24	1	2	10	3	4	5	12	6	7	8	14	9	10	14	11	12	9	13	14	13	15	16	11	17	18	13	19	20	13	21	22	
17	1	3	2	17	6	8	4	17	11	5	17	23	19	21	17	23	18	17	20	22	18	7	9	17	12	14	17	16	10	17	15	13	
17	2	4	3	18	7	9	5	18	12	6	18	17	20	22	18	24	19	18	21	23	17	8	10	18	13	15	23	17	11	18	16	14	
17	3	5	4	19	8	10	6	19	13	7	19	18	21	23	19	1	20	19	22	24	23	9	11	19	14	16	18	18	12	19	17	15	
18	4	6	5	20	9	11	7	20	14	8	20	18	22	24	20	2	21	20	23	1	18	10	12	20	15	17	24	19	13	20	18	16	
18	5	7	6	21	10	12	8	21	15	9	21	24	23	1	21	3	22	21	24	2	17	11	13	21	16	18	18	20	14	21	19	17	
18	6	8	7	22	11	13	9	22	16	10	22	17	24	2	22	4	23	22	1	3	24	12	14	22	17	19	17	21	15	22	20	18	
23	7	9	8	23	12	14	10	23	17	11	23	17	1	3	23	5	24	23	2	4	18	13	15	23	18	20	18	22	16	23	21	19	
24	8	10	9	24	13	15	11	24	18	12	24	18	2	4	24	6	1	24	3	5	17	14	16	24	19	21	17	23	17	24	22	20	
19	9	11	10	18	14	16	12	19	19	13	1	23	3	5	20	7	2	21	4	6	20	15	17	22	20	22	19	24	18	23	23	21	
19	10	12	11	19	15	17	13	20	20	14	2	19	4	6	21	8	3	22	5	7	19	16	18	23	21	23	23	1	19	24	24	22	
