1	1	1	2	1	1	3	1	1	3	1	1	4	1	1	6	1	1	6	1	1	7	1	1	8	1	1	1	1	1	2	1	1	3	1	25	1	
1	2	2	25	2	2	7	2	2	1	2	2	6	2	2	1	2	2	2	2	2	4	2	2	4	2	2	2	2	2	3	2	2	2	2	2	2	
2	3	3	2	3	3	5	3	3	7	3	3	25	3	3	7	3	3	5	3	3	2	3	3	5	3	3	4	3	3	1	3	3	1	3	2	3	
2	4	4	1	4	4	3	4	4	4	4	4	7	4	4	4	4	4	25	4	4	5	4	4	3	4	4	5	4	4	4	4	4	2	4	3	4	
3	5	5	1	5	5	2	5	5	3	5	5	1	5	5	8	5	5	3	5	5	6	5	5	25	5	5	3	5	5	5	5	5	4	5	2	5	
2	6	6	3	6	6	2	6	6	2	6	6	4	6	6	5	6	6	7	6	6	3	6	6	6	6	6	25	6	6	3	6	6	5	6	1	6	
4	7	7	1	7	7	1	7	7	2	7	7	2	7	7	6	7	7	4	7	7	25	7	7	4	7	7	6	7	7	6	7	7	1	7	4	7	
5	8	8	4	8	8	2	8	8	25	8	8	2	8	8	2	8	8	6	8	8	4	8	8	7	8	8	4	8	8	7	8	8	6	8	3	8	
3	9	9	26	9	9	4	9	9	2	9	9	3	9	9	2	9	9	1	9	9	7	9	9	5	9	9	7	9	9	4	9	9	7	9	5	9	
6	10	10	3	10	10	5	10	10	1	10	10	2	10	10	3	10	10	1	10	10	1	10	10	8	10	10	5	10	10	25	10	10	4	10	6	10	
7	11	11	5	11	11	1	11	11	4	11	11	26	11	11	2	11	11	2	11	11	1	11	11	2	11	11	1	11	11	5	11	11	8	11	1	11	
4	12	12	6	12	12	6	12	12	26	12	12	1	12	12	4	12	12	1	12	12	2	12	12	2	12	12	2	12	12	2	12	12	5	12	7	12	
8	13	13	4	13	13	25	13	13	5	13	13	3	13	13	5	13	13	3	13	13	1	13	13	3	13	13	2	13	13	1	13	13	3	13	4	13	
5	14	14	7	14	14	4	14	14	6	14	14	5	14	14	3	14	14	4	14	14	3	14	14	2	14	14	3	14	14	1	14	14	2	14	26	14	
1	15	15	8	15	15	5	15	15	6	15	15	3	15	15	4	15	15	8	15	15	6	15	15	7	15	15	26	15	15	6	15	15	8	15	8	15	
25	16	16	2	16	16	8	16	16	4	16	16	6	16	16	3	16	16	3	16	16	8	16	16	6	16	16	7	16	16	6	16	16	6	16	7	16	
8	17	17	8	17	17	3	17	17	8	17	17	1	17	17	7	17	17	2	17	17	3	17	17	1	17	17	6	17	17	26	17	17	6	17	5	17	
6	18	18	7	18	18	8	18	18	3	18	18	8	18	18	5	18	18	26	18	18	2	18	18	4	18	18	8	18	18	7	18	18	8	18	5	18	
6	19	19	5	19	19	7	19	19	8	19	19	4	19	19	25	19	19	4	19	19	6	19	19	3	19	19	4	19	19	8	19	19	7	19	7	19	
8	20	20	5	20	20	6	20	20	7	20	20	8	20	20	6	20	20	8	20	20	4	20	20	6	20	20	3	20	20	4	20	20	25	20	6	20	
7	21	21	7	21	21	6	21	21	5	21	21	7	21	21	26	21	21	6	21	21	8	21	21	5	21	21	6	21	21	3	21	21	4	21	8	21	
26	22	22	6	22	22	7	22	22	5	22	22	5	22	22	8	22	22	8	22	22	7	22	22	1	22	22	5	22	22	7	22	22	1	22	1	22	
4	23	23	8	23	23	26	23	23	7	23	23	5	23	23	1	23	23	7	23	23	8	23	23	8	23	23	8	23	23	5	23	23	7	23	3	23	
3	24	24	4	24	24	8	24	24	6	24	24	7	24	24	1	24	24	5	24	24	26	24	24	1	24	24	1	24	24	8	24	24	5	24	6	24	
7	25	25	3	25	25	4	25	25	8	25	25	6	25	25	8	25	25	5	25	25	5	25	25	7	25	25	8	25	25	2	25	25	26	25	4	25	
5	26	26	6	26	26	1	26	26	1	26	26	8	26	26	7	26	26	7	26	26	5	26	26	26	26	26	7	26	26	8	26	26	3	26	8	26	
