1	2	7	18	8	12	9	14	--	
2	3	8	19	9	13	10	1	--	
3	--	9	20	10	14	11	2	1	
4	5	10	10	11	15	--	3	1	
5	6	11	1	12	16	13	4	--	
6	7	12	2	13	17	14	5	--	
7	8	13	3	14	18	15	6	--	
8	9	14	4	15	19	16	7	--	
9	10	15	5	16	--	17	8	1	
10	11	--	6	17	20	18	9	1	
11	12	17	7	18	1	19	10	--	
12	13	18	8	19	2	20	11	--	
13	14	19	9	20	3	12	12	--	
14	15	20	--	2	4	1	13	2	
15	16	16	11	1	5	2	--	2	
16	17	1	12	--	6	3	15	2	
17	18	2	13	3	7	4	16	--	
18	19	3	14	4	8	5	17	--	
19	20	4	15	5	9	6	18	--	
20	4	5	16	6	10	7	19	--	
1	3	11	2	14	--	18	10	3	
2	--	12	3	15	20	19	11	3	
3	5	13	4	16	1	20	12	--	
4	6	14	5	17	2	12	13	--	
5	7	15	6	18	3	1	--	3	
6	8	--	7	19	4	2	15	3	
7	9	17	8	20	5	3	16	--	
8	10	18	9	2	6	4	17	--	
9	11	19	--	1	7	5	18	4	
10	12	20	11	--	8	6	19	4	
11	13	16	12	3	9	7	20	--	
12	14	1	13	4	10	8	14	--	
13	15	2	14	5	11	9	1	--	
14	16	3	15	6	12	10	2	--	
15	17	4	16	7	13	11	3	--	
16	18	5	17	8	14	--	4	4	
17	19	6	18	9	15	13	5	--	
18	20	7	19	10	16	14	6	--	
19	4	8	20	11	17	15	7	--	
20	1	9	10	12	18	16	8	--	
1	--	14	10	18	7	6	20	5	
2	5	15	1	19	8	7	14	--	
3	6	--	2	20	9	8	1	5	
4	7	17	3	2	10	9	2	--	
5	8	18	4	1	11	10	3	--	
6	9	19	5	--	12	11	4	5	
7	10	20	6	3	13	--	5	5	
8	11	16	7	4	14	13	6	--	
9	12	1	8	5	15	14	7	--	
10	13	2	9	6	16	15	8	--	
11	14	3	--	7	17	16	9	6	
12	15	4	11	8	18	17	10	--	
13	16	5	12	9	19	18	11	--	
14	17	6	13	10	--	19	12	6	
15	18	7	14	11	20	20	13	--	
16	19	8	15	12	1	12	--	6	
17	20	9	16	13	2	1	15	--	
18	4	10	17	14	3	2	16	--	
19	1	11	18	15	4	3	17	--	
20	2	12	19	16	5	4	18	--	
1	5	17	11	3	20	13	15	--	
2	6	18	12	4	1	14	16	--	
3	7	19	13	5	2	15	17	--	
4	8	20	14	6	3	16	18	--	
5	9	16	15	7	4	17	19	--	
6	10	1	16	8	5	18	20	--	
7	11	2	17	9	6	19	14	--	
8	12	3	18	10	7	20	1	--	
9	13	4	19	11	8	12	2	--	
10	14	5	20	12	9	1	3	--	
11	15	6	10	13	10	2	4	--	
12	16	7	1	14	11	3	5	--	
13	17	8	2	15	12	4	6	--	
14	18	9	3	16	13	5	7	--	
15	19	10	4	17	14	6	8	--	
16	20	11	5	18	15	7	9	--	
17	4	12	6	19	16	8	10	--	
18	1	13	7	20	17	9	11	--	
19	2	14	8	2	18	10	12	--	
20	3	15	9	1	19	11	13	--	
--	1	6	17	7	11	8	20	2	
--	2	10	1	13	19	17	9	4	
--	3	13	20	17	6	5	19	6	
