1	2	--	11	14	6	3	4	1	
2	3	8	12	12	7	1	5	--	
3	--	9	13	1	8	2	6	1	
4	5	10	14	2	9	--	7	1	
5	6	11	5	3	10	4	--	1	
6	7	12	1	4	11	5	9	--	
7	8	13	2	5	12	6	10	--	
8	9	14	3	6	13	7	11	--	
9	10	7	4	7	14	8	12	--	
10	11	1	--	8	1	9	13	2	
11	12	2	6	9	--	10	14	2	
12	13	3	7	10	2	11	8	--	
13	14	4	8	11	3	12	1	--	
14	4	5	9	--	4	13	2	2	
1	3	10	5	4	13	8	14	--	
2	--	11	1	5	14	9	8	3	
3	5	12	2	6	1	10	1	--	
4	6	13	3	7	--	11	2	3	
5	7	14	4	8	2	12	3	--	
6	8	7	--	9	3	13	4	3	
7	9	1	6	10	4	14	5	--	
8	10	2	7	11	5	3	6	--	
9	11	3	8	--	6	1	7	3	
10	12	4	9	13	7	2	--	4	
11	13	5	10	14	8	--	9	4	
12	14	6	11	12	9	4	10	--	
13	4	--	12	1	10	5	11	4	
14	1	8	13	2	11	6	12	--	
1	--	12	3	8	5	13	10	5	
2	5	13	4	9	6	14	11	--	
3	6	14	--	10	7	3	12	5	
4	7	7	6	11	8	1	13	--	
5	8	1	7	--	9	2	14	5	
6	9	2	8	13	10	--	8	5	
7	10	3	9	14	11	4	1	--	
8	11	4	10	12	12	5	2	--	
9	12	5	11	1	13	6	3	--	
10	13	6	12	2	14	7	4	--	
11	14	--	13	3	1	8	5	6	
12	4	8	14	4	--	9	6	6	
13	1	9	5	5	2	10	7	--	
14	2	10	1	6	3	11	--	6	
1	5	8	6	13	2	4	9	--	
2	6	9	7	14	3	5	10	--	
3	7	10	8	12	4	6	11	--	
4	8	11	9	1	5	7	12	--	
5	9	12	10	2	6	8	13	--	
6	10	13	11	3	7	9	14	--	
7	11	14	12	4	8	10	8	--	
8	12	7	13	5	9	11	1	--	
9	13	1	14	6	10	12	2	--	
10	14	2	5	7	11	13	3	--	
11	4	3	1	8	12	14	4	--	
12	1	4	2	9	13	3	5	--	
13	2	5	3	10	14	1	6	--	
14	3	6	4	11	1	2	7	--	
--	1	6	10	13	5	14	3	2	
--	2	9	14	3	12	7	13	4	
--	3	11	2	7	4	12	9	6	
