1	2	3	4	5	6	7	8	--	
2	3	4	5	6	7	8	9	--	
3	4	5	6	7	8	9	10	--	
4	5	6	7	8	9	10	11	--	
5	6	7	8	9	10	11	12	--	
6	7	8	9	10	11	12	13	--	
7	8	9	10	11	12	13	14	--	
8	9	10	11	12	13	14	15	--	
9	10	11	12	13	14	15	16	--	
10	11	12	13	14	15	16	17	--	
11	12	13	14	15	16	17	18	--	
12	13	14	15	16	17	18	19	--	
13	14	15	16	17	18	19	20	--	
14	15	16	17	18	19	24	24	--	
15	16	17	18	24	20	21	22	--	
16	17	24	19	20	21	22	23	--	
17	18	19	20	21	24	23	21	--	
18	19	20	21	22	23	20	25	--	
19	20	21	22	23	22	29	29	--	
20	21	22	24	29	25	26	27	--	
21	22	29	23	25	26	27	28	--	
22	23	18	25	26	29	28	--	3	
23	24	25	26	27	28	--	1	3	
24	25	26	27	28	--	1	2	3	
25	26	27	29	--	1	2	3	3	
26	27	28	28	1	2	3	4	--	
27	28	23	1	2	3	4	5	--	
28	29	1	2	3	4	5	6	--	
29	1	2	3	4	5	6	7	--	
1	3	5	7	9	11	13	15	--	
2	4	6	8	10	12	14	16	--	
3	5	7	9	11	13	15	17	--	
4	6	8	10	12	14	16	18	--	
5	7	9	11	13	15	17	19	--	
6	8	10	12	14	16	18	20	--	
7	9	11	13	15	17	19	24	--	
8	10	12	14	16	18	24	22	--	
9	11	13	15	17	19	21	23	--	
10	12	14	16	18	20	22	--	4	
11	13	15	17	24	21	23	25	--	
12	14	16	18	20	24	--	29	4	
13	15	17	19	21	23	29	27	--	
14	16	24	20	22	--	26	28	4	
15	17	19	21	23	25	27	26	--	
16	18	20	22	--	26	28	1	4	
17	19	21	24	25	29	25	2	--	
18	20	22	23	26	28	1	3	--	
19	21	29	25	27	27	2	4	--	
20	22	18	26	28	1	3	5	--	
21	23	25	27	19	2	4	6	--	
22	24	26	29	1	3	5	7	--	
23	25	27	28	2	4	6	8	--	
24	26	28	1	3	5	7	9	--	
25	27	23	2	4	6	8	10	--	
26	28	1	3	5	7	9	11	--	
27	29	2	4	6	8	10	12	--	
28	1	3	5	7	9	11	13	--	
29	2	4	6	8	10	12	14	--	
1	4	7	10	13	16	19	22	--	
2	5	8	11	14	17	24	23	--	
3	6	9	12	15	18	21	21	--	
4	7	10	13	16	19	22	25	--	
5	8	11	14	17	20	23	29	--	
6	9	12	15	18	21	20	27	--	
7	10	13	16	24	24	29	28	--	
8	11	14	17	20	23	26	26	--	
9	12	15	18	21	22	27	1	--	
10	13	16	19	22	25	28	2	--	
11	14	17	20	23	26	25	3	--	
12	15	24	21	29	29	1	4	--	
13	16	19	22	25	28	2	5	--	
14	17	20	24	26	27	3	6	--	
15	18	21	23	27	1	4	7	--	
16	19	22	25	28	2	5	8	--	
17	20	29	26	19	3	6	9	--	
18	21	18	27	1	4	7	10	--	
19	22	25	29	2	5	8	11	--	
20	23	26	--	3	6	9	12	1	
21	24	27	1	4	7	10	13	--	
22	25	28	2	5	8	11	14	--	
23	26	--	3	6	9	12	15	1	
24	27	1	4	7	10	13	16	--	
25	28	2	5	8	11	14	17	--	
26	--	3	6	9	12	15	18	1	
27	1	4	7	10	13	16	19	--	
28	2	5	8	11	14	17	20	--	
29	3	6	9	12	15	18	24	--	
1	5	9	13	17	21	29	26	--	
2	6	10	14	18	24	26	1	--	
3	7	11	15	24	23	27	2	--	
4	8	12	16	20	22	28	3	--	
5	9	13	17	21	25	25	4	--	
6	10	14	18	22	26	1	5	--	
7	11	15	19	23	29	2	6	--	
8	12	16	20	29	28	3	7	--	
9	13	17	21	25	27	4	8	--	
10	14	24	22	26	1	5	9	--	
11	15	19	24	27	2	6	10	--	
12	16	20	--	28	3	7	11	2	
13	17	21	25	19	4	8	12	--	
14	18	22	26	1	5	9	13	--	
15	19	29	27	2	6	10	14	--	
16	20	--	29	3	7	11	15	2	
17	21	25	28	4	8	12	16	--	
18	22	26	1	5	9	13	17	--	
19	23	27	2	6	10	14	18	--	
20	--	28	3	7	11	15	19	2	
21	25	23	4	8	12	16	20	--	
22	26	1	5	9	13	17	24	--	
23	27	2	6	10	14	18	22	--	
24	28	3	7	11	15	19	23	--	
25	29	4	8	12	16	24	21	--	
26	1	5	9	13	17	21	25	--	
27	2	6	10	14	18	22	29	--	
28	3	7	11	15	19	23	27	--	
29	4	8	12	16	20	20	28	--	
--	29	23	28	19	27	25	26	1	
--	24	18	23	29	22	20	21	2	
