1	2	5	7	14	16	23	22	
2	3	6	8	15	17	1	23	
3	4	7	9	16	18	2	27	
4	5	8	10	17	19	3	25	
5	6	9	11	18	20	4	26	
6	7	10	12	19	21	5	24	
7	8	11	13	20	22	6	1	
8	9	12	14	21	23	7	2	
9	10	13	15	27	24	8	3	
10	11	14	16	23	27	9	4	
11	12	15	17	24	26	10	5	
12	13	16	18	25	25	11	6	
13	14	17	19	26	1	12	7	
14	15	18	20	22	2	13	8	
15	16	19	21	1	3	14	9	
16	17	20	22	2	4	15	10	
17	18	27	23	3	5	16	11	
18	19	22	24	4	6	17	12	
19	20	23	25	5	7	18	13	
20	21	24	27	6	8	19	14	
21	22	25	26	7	9	20	15	
22	23	26	1	8	10	21	16	
23	24	21	2	9	11	22	17	
24	25	1	3	10	12	27	18	
25	26	2	4	11	13	24	19	
26	27	3	5	12	14	25	20	
27	1	4	6	13	15	26	21	
1	3	9	13	24	nuke	12	8	1	
2	4	10	14	25	1	13	9	
3	5	11	15	26	2	14	10	
4	6	12	16	nuke	3	15	11	1	
5	7	13	17	1	4	16	12	
6	8	14	18	2	5	17	13	
7	9	15	19	3	6	18	14	
8	10	16	20	4	7	19	15	
9	11	17	21	5	8	20	16	
10	12	18	22	6	9	21	17	
11	13	19	23	7	10	22	18	
12	14	20	24	8	11	27	19	
13	15	27	25	9	12	24	20	
14	16	22	27	10	13	25	21	
15	17	23	26	11	14	26	22	
16	18	24	1	12	15	nuke	23	1	
17	19	25	2	13	16	1	27	
18	20	26	3	14	17	2	25	
19	21	21	4	15	18	3	26	
20	22	1	5	16	19	4	nuke	1	
21	23	2	6	17	20	5	1	
22	24	3	7	18	21	6	2	
23	25	4	8	19	22	7	3	
24	26	5	9	20	23	8	4	
25	27	6	10	21	24	9	5	
26	1	7	11	27	27	10	6	
27	2	8	12	23	26	11	7	
1	4	12	17	7	11	24	21	
2	5	13	18	8	12	25	22	
3	6	14	19	9	13	26	23	
4	7	15	20	10	14	23	27	
5	8	16	21	11	15	1	25	
6	9	17	22	12	16	2	26	
7	10	18	23	13	17	3	24	
8	11	19	24	14	18	4	1	
9	12	20	25	15	19	5	2	
10	13	27	27	16	20	6	3	
11	14	22	nuke	17	21	7	4	2	
12	15	23	1	18	22	8	5	
13	16	24	2	19	23	9	6	
14	17	25	3	20	24	10	7	
15	18	26	4	21	27	11	8	
16	19	nuke	5	27	26	12	9	2	
17	20	1	6	23	25	13	10	
18	21	2	7	24	1	14	11	
19	22	3	8	25	2	15	12	
20	23	4	9	26	3	16	13	
21	24	5	10	22	4	17	14	
22	25	6	11	1	5	18	15	
23	26	7	12	2	6	19	16	
24	nuke	8	13	3	7	20	17	2	
25	1	9	14	4	8	21	18	
26	2	10	15	5	9	22	19	
27	3	11	16	6	10	27	20	
1	5	14	2	12	26	13	15	
2	6	15	3	13	25	14	16	
3	7	16	4	14	1	15	17	
4	8	17	5	15	2	16	18	
5	9	18	6	16	3	17	19	
6	10	19	7	17	4	18	20	
7	11	20	8	18	5	19	21	
8	12	27	9	19	6	20	22	
9	13	22	10	20	7	21	23	
10	14	23	11	21	8	22	27	
11	15	24	12	27	9	27	25	
12	16	25	13	23	10	24	26	
13	17	26	14	24	11	25	24	
14	18	21	15	25	12	26	1	
15	19	1	16	26	13	23	2	
16	20	2	17	22	14	1	3	
17	21	3	18	1	15	2	4	
18	22	4	19	2	16	3	5	
19	23	5	20	3	17	4	6	
20	24	6	21	4	18	5	7	
21	25	7	22	5	19	6	8	
22	26	8	23	6	20	7	9	
23	27	9	24	7	21	8	10	
24	1	10	25	8	22	9	11	
25	2	11	27	9	23	10	12	
26	3	12	26	10	24	11	13	
27	4	13	1	11	27	12	14	
nuke	27	21	26	22	25	23	24	2	
