1	2	3	4	5	6	7	8	--	
2	3	4	5	6	7	8	9	--	
3	4	5	6	7	8	9	10	--	
4	5	6	7	8	9	10	11	--	
5	6	7	8	9	10	11	12	--	
6	7	8	9	10	11	12	13	--	
7	8	9	10	11	12	13	14	--	
8	9	10	11	12	13	14	15	--	
9	10	11	12	13	14	19	19	--	
10	11	12	13	19	15	16	17	--	
11	12	19	14	15	16	17	18	--	
12	13	14	15	16	19	18	16	--	
13	14	15	16	17	18	15	1	--	
14	15	16	17	18	17	1	2	--	
15	16	17	19	14	1	2	3	--	
16	17	18	18	1	2	3	4	--	
17	18	13	1	2	3	4	5	--	
18	19	1	2	3	4	5	6	--	
19	1	2	3	4	5	6	7	--	
1	3	5	7	9	11	13	15	--	
2	4	6	8	10	12	14	19	--	
3	5	7	9	11	13	19	17	--	
4	6	8	10	12	14	16	18	--	
5	7	9	11	13	15	17	--	1	
6	8	10	12	19	16	18	1	--	
7	9	11	13	15	19	--	2	1	
8	10	12	14	16	18	1	3	--	
9	11	19	15	17	--	2	4	1	
10	12	14	16	18	1	3	5	--	
11	13	15	17	--	2	4	6	1	
12	14	16	19	1	3	5	7	--	
13	15	17	18	2	4	6	8	--	
14	16	18	1	3	5	7	9	--	
15	17	13	2	4	6	8	10	--	
16	18	1	3	5	7	9	11	--	
17	19	2	4	6	8	10	12	--	
18	1	3	5	7	9	11	13	--	
19	2	4	6	8	10	12	14	--	
1	4	7	10	13	16	15	3	--	
2	5	8	11	19	19	1	4	--	
3	6	9	12	15	18	2	5	--	
4	7	10	13	16	17	3	6	--	
5	8	11	14	17	1	4	7	--	
6	9	12	15	18	2	5	8	--	
7	10	19	16	14	3	6	9	--	
8	11	14	17	1	4	7	10	--	
9	12	15	19	2	5	8	11	--	
10	13	16	--	3	6	9	12	2	
11	14	17	1	4	7	10	13	--	
12	15	18	2	5	8	11	14	--	
13	16	--	3	6	9	12	15	2	
14	17	1	4	7	10	13	19	--	
15	18	2	5	8	11	14	17	--	
16	--	3	6	9	12	19	18	2	
17	1	4	7	10	13	16	16	--	
18	2	5	8	11	14	17	1	--	
19	3	6	9	12	15	18	2	--	
1	5	9	13	17	2	6	10	--	
2	6	10	14	18	3	7	11	--	
3	7	11	15	14	4	8	12	--	
4	8	12	16	1	5	9	13	--	
5	9	19	17	2	6	10	14	--	
6	10	14	19	3	7	11	15	--	
7	11	15	18	4	8	12	19	--	
8	12	16	1	5	9	13	17	--	
9	13	17	2	6	10	14	18	--	
10	14	18	3	7	11	19	16	--	
11	15	13	4	8	12	16	1	--	
12	16	1	5	9	13	17	2	--	
13	17	2	6	10	14	18	3	--	
14	18	3	7	11	15	15	4	--	
15	19	4	8	12	16	1	5	--	
16	1	5	9	13	19	2	6	--	
17	2	6	10	19	18	3	7	--	
18	3	7	11	15	17	4	8	--	
19	4	8	12	16	1	5	9	--	
--	19	13	18	14	17	15	16	2	
