1	2	7	18	8	12	9	18	
2	3	8	19	9	13	10	1	
3	4	9	21	10	14	11	2	
4	5	10	20	11	15	12	3	
5	6	11	1	12	16	13	4	
6	7	12	2	13	17	14	5	
7	8	13	3	14	18	15	6	
8	9	14	4	15	21	16	7	
9	10	21	5	21	20	21	8	
10	11	16	6	17	19	18	9	
11	12	17	7	18	1	19	10	
12	13	18	8	19	2	20	11	
13	14	19	9	20	3	17	12	
14	15	20	10	16	4	1	13	
15	16	15	11	1	5	2	14	
16	17	1	12	2	6	3	15	
17	18	2	13	3	7	4	16	
18	19	3	14	4	8	5	17	
19	20	4	15	5	9	6	21	
20	21	5	16	6	10	7	19	
21	1	6	17	7	11	8	20	
1	3	11	2	14	20	18	10	
2	4	12	3	15	nuke	19	11	1	
3	5	13	4	21	1	20	12	
4	6	14	5	17	2	nuke	13	1	
5	7	21	6	18	3	1	14	
6	8	16	7	19	4	2	15	
7	9	17	8	20	5	3	16	
8	10	18	9	nuke	6	4	17	1	
9	11	19	10	1	7	5	21	
10	12	20	11	2	8	6	19	
11	13	15	12	3	9	7	20	
12	14	1	13	4	10	8	nuke	1	
13	15	2	14	5	11	9	1	
14	16	3	15	6	12	10	2	
15	17	4	16	7	13	11	3	
16	18	5	17	8	14	12	4	
17	19	6	18	9	15	13	5	
18	20	7	19	10	16	14	6	
19	21	8	21	11	17	15	7	
20	1	9	20	12	18	16	8	
21	2	10	1	13	21	21	9	
1	4	14	nuke	18	7	6	20	2	
2	5	21	1	19	8	7	18	
3	6	16	2	20	9	8	1	
4	7	17	3	16	10	9	2	
5	8	18	4	1	11	10	3	
6	9	19	5	2	12	11	4	
7	10	20	6	3	13	12	5	
8	11	nuke	7	4	14	13	6	2	
9	12	1	8	5	15	14	7	
10	13	2	9	6	16	15	8	
11	14	3	10	7	17	16	9	
12	15	4	11	8	18	21	10	
13	16	5	12	9	21	18	11	
14	17	6	13	10	20	19	12	
15	18	7	14	11	19	20	13	
16	19	8	15	12	1	17	14	
17	20	9	16	13	2	1	15	
18	nuke	10	17	14	3	2	16	2	
19	1	11	18	15	4	3	17	
20	2	12	19	21	5	4	21	
21	3	13	21	17	6	5	19	
1	5	17	11	3	19	13	15	
2	6	18	12	4	1	14	16	
3	7	19	13	5	2	15	17	
4	8	20	14	6	3	16	21	
5	9	15	15	7	4	21	19	
6	10	1	16	8	5	18	20	
7	11	2	17	9	6	19	18	
8	12	3	18	10	7	20	1	
9	13	4	19	11	8	17	2	
10	14	5	21	12	9	1	3	
11	15	6	20	13	10	2	4	
12	16	7	1	14	11	3	5	
13	17	8	2	15	12	4	6	
14	18	9	3	21	13	5	7	
15	19	10	4	17	14	6	8	
16	20	11	5	18	15	7	9	
17	21	12	6	19	16	8	10	
18	1	13	7	20	17	9	11	
19	2	14	8	16	18	10	12	
20	3	21	9	1	21	11	13	
21	4	16	10	2	20	12	14	
nuke	21	15	20	16	19	17	18	2	
