1	3	5	7	9	11	13	15	17	19	21	23	25	1	3	5	7	9	11	11	15	7	7	17	19	25	1	21	17	13	21	13	25	19	23	23
2	4	6	8	10	12	14	16	18	20	22	24	26	2	4	6	8	10	12	12	16	8	8	18	20	26	2	22	18	14	22	14	26	20	24	24
2	23	21	11	19	17	9	5	7	15	13	11	5	9	7	3	5	3	3	3	3	23	21	11	19	17	9	5	7	15	13	11	5	9	7	3
1	24	22	12	20	18	10	6	8	16	14	12	6	10	8	4	6	4	4	4	4	24	22	12	20	18	10	6	8	16	14	12	6	10	8	4
3	4	23	21	11	19	17	9	5	7	15	13	11	5	9	7	3	5	4	19	25	15	21	17	13	21	13	25	1	23	1	1	9	11	15	1
4	3	24	22	12	20	18	10	6	8	16	14	12	6	10	8	4	6	3	20	26	16	22	18	14	22	14	26	2	24	2	2	10	12	16	2
3	1	5	23	21	1	19	17	9	5	7	15	13	11	5	9	1	3	5	17	13	21	13	25	20	23	23	26	9	11	15	7	1	17	19	25
4	2	6	24	22	2	20	18	10	6	8	16	14	12	6	10	2	4	6	18	14	22	14	26	19	24	24	25	10	12	16	8	2	18	20	26
5	1	3	8	23	21	11	19	1	9	5	7	15	13	11	1	9	7	4	5	9	7	3	5	3	3	15	23	21	12	19	17	10	5	7	15
6	2	4	7	24	22	12	20	2	10	6	8	16	14	12	2	10	8	3	6	10	8	4	6	4	4	16	24	22	11	20	18	9	6	8	16
4	5	4	3	10	23	21	11	19	17	9	5	7	15	13	11	5	1	7	15	7	5	17	19	25	15	21	1	13	1	14	1	19	23	23	25
3	6	3	4	9	24	22	12	20	18	10	6	8	16	14	12	6	2	8	16	8	6	18	20	26	16	22	2	14	2	13	2	20	24	24	26
7	2	1	4	3	11	23	21	11	1	17	9	6	7	15	13	11	6	9	12	19	17	9	5	7	15	13	11	5	9	7	3	5	1	3	7
8	1	2	3	4	12	24	22	12	2	18	10	5	8	16	14	12	5	10	11	20	18	10	6	8	16	14	12	6	10	8	4	6	2	4	8
9	7	4	5	4	3	13	23	21	11	19	17	9	6	7	15	13	11	5	18	9	1	1	15	13	11	5	9	8	3	5	3	3	3	24	21
10	8	3	6	3	4	14	24	22	12	20	18	10	5	8	16	14	12	6	17	10	2	2	16	14	12	6	10	7	4	6	4	4	4	23	22
6	9	7	4	5	4	3	15	23	21	11	19	17	10	5	7	15	13	1	25	16	22	17	13	21	1	25	19	23	24	25	9	11	15	7	8
5	10	8	3	6	3	4	16	24	22	12	20	18	9	6	8	16	14	2	26	15	21	18	14	22	2	26	20	24	23	26	10	12	16	8	7
11	5	9	1	4	5	3	3	18	23	1	11	19	17	9	2	2	15	13	16	21	17	13	21	14	25	19	23	24	25	9	12	15	7	5	17
12	6	10	2	3	6	4	4	17	24	2	12	20	18	10	1	1	16	14	15	22	18	14	22	13	26	20	24	23	26	10	11	16	8	6	18
13	11	2	9	7	4	5	4	3	19	23	21	11	19	17	9	6	8	15	7	1	1	3	3	11	24	21	11	2	17	9	5	7	16	13	11
14	12	1	10	8	3	6	3	4	20	24	22	12	20	18	10	5	7	16	8	2	2	4	4	12	23	22	12	1	18	10	6	8	15	14	12
15	13	11	5	1	7	4	5	3	3	22	1	21	11	19	17	10	6	7	1	4	6	7	9	12	13	15	17	19	21	23	25	2	4	5	8
16	14	12	6	2	8	3	6	4	4	21	2	22	12	20	18	9	5	8	2	3	5	8	10	11	14	16	18	20	22	24	26	1	3	6	7
8	15	13	12	5	9	7	4	5	3	3	23	23	21	11	19	17	1	5	23	26	9	11	16	7	14	17	20	25	15	22	18	13	21	14	26
7	16	14	11	6	10	8	3	6	4	4	24	24	22	12	20	18	2	6	24	25	10	12	15	8	13	18	19	26	16	21	17	14	22	13	25
6	8	15	13	11	6	9	7	4	5	4	3	26	23	21	11	19	17	9	5	1	3	7	23	22	11	19	2	10	5	8	15	13	12	1	9
5	7	16	14	12	5	10	8	3	6	3	4	25	24	22	12	20	18	10	6	2	4	8	24	21	12	20	1	9	6	7	16	14	11	2	10
10	6	7	15	13	1	6	9	7	4	6	4	3	2	23	21	11	19	17	13	26	19	23	23	25	9	11	15	8	21	17	19	25	16	21	17
9	5	8	16	14	2	5	10	8	3	5	3	4	1	24	22	12	20	18	14	25	20	24	24	26	10	12	16	7	22	18	20	26	15	22	18
17	10	2	2	15	13	11	5	10	7	4	5	3	3	3	23	21	11	19	14	11	2	9	7	4	5	3	3	20	24	22	12	20	17	9	5
18	9	1	1	16	14	12	6	9	8	3	6	4	4	4	24	22	12	20	13	12	1	10	8	3	6	4	4	19	23	21	11	19	18	10	6
19	17	9	6	8	15	1	11	6	9	7	4	6	3	1	6	23	21	1	3	1	6	24	22	1	19	17	9	6	7	16	13	12	6	10	1
20	18	10	5	7	16	2	12	5	10	8	3	5	4	2	5	24	22	2	4	2	5	23	21	2	20	18	10	5	8	15	14	11	5	9	2
11	19	17	10	6	8	15	13	11	5	10	7	4	6	2	4	7	23	21	6	7	15	14	11	5	9	7	3	6	4	3	25	23	21	11	19
12	20	18	9	5	7	16	14	12	6	9	8	3	5	1	3	8	24	22	5	8	16	13	12	6	10	8	4	5	3	4	26	24	22	12	20
21	12	19	17	1	6	7	1	13	11	6	10	7	4	6	4	3	9	23	25	19	23	24	25	9	12	2	7	20	17	19	2	15	22	17	13
