1	5	9	1	1	5	9	1	3	9	1	9	11	9	5	1
2	6	10	2	2	6	10	2	4	10	2	10	12	10	6	2
3	7	11	3	3	7	11	3	1	5	9	1	1	5	9	1
4	8	12	4	4	8	12	4	2	6	10	2	2	6	10	2
4	1	5	5	9	1	9	9	7	7	7	10	1	1	7	7
3	2	6	6	10	2	10	10	8	8	8	9	2	2	8	8
1	3	7	7	11	3	12	11	9	5	2	5	5	7	7	11
2	4	8	8	12	4	11	12	10	6	1	6	6	8	8	12
4	9	1	9	12	9	5	1	9	1	11	11	12	5	1	8
3	10	2	10	11	10	6	2	10	2	12	12	11	6	2	7
2	11	3	11	9	11	7	3	11	11	5	3	2	9	1	11
1	12	4	12	10	12	8	4	12	12	6	4	1	10	2	12
5	10	9	7	5	1	1	4	1	11	3	11	9	11	8	3
6	9	10	8	6	2	2	3	2	12	4	12	10	12	7	4
7	11	12	6	7	4	3	1	7	2	3	1	5	10	11	5
8	12	11	5	8	3	4	2	8	1	4	2	6	9	12	6
5	5	5	11	3	4	6	5	5	3	2	4	7	12	10	8
6	6	6	12	4	3	5	6	6	4	1	3	8	11	9	7
8	7	7	9	1	2	7	7	4	2	6	6	9	1	10	9
7	8	8	10	2	1	8	8	3	1	5	5	10	2	9	10
8	2	3	1	6	10	12	6	1	3	7	7	12	3	11	12
7	1	4	2	5	9	11	5	2	4	8	8	11	4	12	11
6	4	1	3	8	11	10	8	5	9	10	8	5	1	2	3
5	3	2	4	7	12	9	7	6	10	9	7	6	2	1	4
9	2	12	11	12	5	1	8	6	5	6	12	3	4	6	6
10	1	11	12	11	6	2	7	5	6	5	11	4	3	5	5
11	4	9	10	9	7	3	6	9	10	8	2	3	12	3	9
12	3	10	9	10	8	4	5	10	9	7	1	4	11	4	10
9	10	8	1	4	11	3	9	4	8	11	4	4	7	12	4
10	9	7	2	3	12	4	10	3	7	12	3	3	8	11	3
11	12	5	4	1	10	2	11	11	8	3	8	8	5	6	10
12	11	6	3	2	9	1	12	12	7	4	7	7	6	5	9
12	8	3	7	8	6	6	10	7	12	11	6	8	4	3	1
11	7	4	8	7	5	5	9	8	11	12	5	7	3	4	2
10	5	2	6	6	7	8	12	11	4	10	10	9	7	4	6
9	6	1	5	5	8	7	11	12	3	9	9	10	8	3	5
