1	9	17	1	1	9	17	1	5	17	1	17	21	17	9	1	9	5	3	7	13	23	17	13	11	19	17	13	11	3	1	7
2	10	18	2	2	10	18	2	6	18	2	18	22	18	10	2	10	6	4	8	14	24	18	14	12	20	18	14	12	4	2	8
3	11	19	3	3	11	19	3	7	19	3	19	23	19	11	3	21	13	7	15	13	9	9	17	15	21	23	9	13	5	7	3
4	12	20	4	4	12	20	4	8	20	4	20	24	20	12	4	22	14	8	16	14	10	10	18	16	22	24	10	14	6	8	4
5	13	21	5	5	13	21	5	1	9	17	1	1	9	17	2	3	21	5	21	17	21	13	5	21	22	9	5	3	17	1	21
6	14	22	6	6	14	22	6	2	10	18	2	2	10	18	1	4	22	6	22	18	22	14	6	22	21	10	6	4	18	2	22
7	15	23	7	7	15	23	7	3	11	19	3	3	11	19	3	1	23	8	23	19	23	15	7	23	23	11	7	1	19	3	23
8	16	24	8	8	16	24	8	4	12	20	4	4	12	20	4	2	24	7	24	20	24	16	8	24	24	12	8	2	20	4	24
8	1	9	9	17	1	17	17	13	13	13	19	2	1	13	13	13	21	23	11	14	7	5	1	13	3	5	1	9	19	21	9
7	2	10	10	18	2	18	18	14	14	14	20	1	2	14	14	14	22	24	12	13	8	6	2	14	4	6	2	10	20	22	10
6	3	11	11	19	3	20	19	15	15	15	18	4	3	15	15	9	9	9	21	5	7	11	9	9	5	3	7	13	23	19	15
5	4	12	12	20	4	19	20	16	16	16	17	3	4	16	16	10	10	10	22	6	8	12	10	10	6	4	8	14	24	20	16
1	5	13	13	21	5	23	21	17	10	3	9	9	13	14	21	10	19	17	13	9	1	1	8	1	22	5	21	17	21	15	5
2	6	14	14	22	6	24	22	18	9	4	10	10	14	13	22	9	20	18	14	10	2	2	7	2	21	6	22	18	22	16	6
3	7	15	15	23	7	22	23	19	11	1	11	11	15	15	23	7	1	10	9	17	1	18	18	13	13	13	19	2	1	13	13
4	8	16	16	24	8	21	24	20	12	2	12	12	16	16	24	8	2	9	10	18	2	17	17	14	14	14	20	1	2	14	14
8	17	1	17	24	17	9	1	18	1	21	21	23	10	1	16	14	1	8	3	9	17	21	9	3	7	15	15	21	7	23	21
7	18	2	18	23	18	10	2	17	2	22	22	24	9	2	15	13	2	7	4	10	18	22	10	4	8	16	16	22	8	24	22
6	19	3	19	22	19	11	4	19	3	23	23	21	11	3	14	8	15	23	8	7	15	23	8	3	11	19	3	3	11	20	3
5	20	4	20	21	20	12	3	20	4	24	24	22	12	4	13	7	16	24	7	8	16	24	7	4	12	20	4	4	12	19	4
4	21	5	21	17	21	13	6	21	21	9	5	4	17	1	22	11	11	11	23	8	5	9	11	12	8	1	5	15	21	17	13
3	22	6	22	18	22	14	5	22	22	10	6	3	18	2	21	12	12	12	24	7	6	10	12	11	7	2	6	16	22	18	14
1	23	7	23	19	23	15	8	23	23	11	7	2	19	4	24	22	23	10	8	1	19	3	21	21	15	6	15	15	9	11	19
2	24	8	24	20	24	16	7	24	24	12	8	1	20	3	23	21	24	9	7	2	20	4	22	22	16	5	16	16	10	12	20
9	19	17	13	9	2	1	8	1	21	5	21	17	21	16	5	1	9	18	1	2	10	18	1	5	17	2	17	22	18	9	1
10	20	18	14	10	1	2	7	2	22	6	22	18	22	15	6	2	10	17	2	1	9	17	2	6	18	1	18	21	17	10	2
11	18	19	16	11	3	3	6	3	24	7	24	19	23	14	7	22	7	18	19	17	13	5	12	17	20	15	3	5	24	5	17
12	17	20	15	12	4	4	5	4	23	8	23	20	24	13	8	21	8	17	20	18	14	6	11	18	19	16	4	6	23	6	18
13	21	23	11	13	7	5	1	13	4	6	1	10	20	21	9	19	2	21	24	21	11	3	14	10	11	10	21	7	5	9	10
14	22	24	12	14	8	6	2	14	3	5	2	9	19	22	10	20	1	22	23	22	12	4	13	9	12	9	22	8	6	10	9
15	23	21	9	15	5	7	4	15	1	8	3	12	17	23	11	19	17	13	4	6	24	7	19	5	13	23	6	5	15	22	6
16	24	22	10	16	6	8	3	16	2	7	4	11	18	24	12	20	18	14	3	5	23	8	20	6	14	24	5	6	16	21	5
10	9	10	21	5	7	12	9	9	5	3	7	13	24	19	16	5	20	4	19	22	20	11	3	19	3	24	23	22	11	4	14
9	10	9	22	6	8	11	10	10	6	4	8	14	23	20	15	6	19	3	20	21	19	12	4	20	4	23	24	21	12	3	13
11	11	11	24	7	6	9	11	11	7	2	6	15	21	17	14	23	5	19	17	20	16	7	10	19	18	13	1	7	21	8	19
12	12	12	23	8	5	10	12	12	8	1	5	16	22	18	13	24	6	20	18	19	15	8	9	20	17	14	2	8	22	7	20
15	13	13	17	1	4	14	13	7	4	11	12	18	1	20	17	20	9	4	12	11	13	15	23	22	8	19	19	18	13	8	11
16	14	14	18	2	3	13	14	8	3	12	11	17	2	19	18	19	10	3	11	12	14	16	24	21	7	20	20	17	14	7	12
14	15	16	20	3	2	16	15	5	2	10	9	20	3	18	19	11	7	1	5	15	21	19	15	10	18	19	15	9	1	4	6
13	16	15	19	4	1	15	16	6	1	9	10	19	4	17	20	12	8	2	6	16	22	20	16	9	17	20	16	10	2	3	5
16	3	5	1	11	19	24	11	2	5	13	13	24	5	21	24	3	8	15	15	23	8	21	23	20	12	2	11	12	15	15	23
15	4	6	2	12	20	23	12	1	6	14	14	23	6	22	23	4	7	16	16	24	7	22	24	19	11	1	12	11	16	16	24
14	1	8	3	9	18	22	10	3	8	15	15	22	7	24	22	8	17	2	17	23	17	10	2	18	1	21	21	23	9	1	16
13	2	7	4	10	17	21	9	4	7	16	16	21	8	23	21	7	18	1	18	24	18	9	1	17	2	22	22	24	10	2	15
12	7	1	6	15	21	20	15	9	17	19	15	10	1	4	6	23	15	5	13	16	12	12	20	14	24	22	11	16	8	5	1
11	8	2	5	16	22	19	16	10	18	20	16	9	2	3	5	24	16	6	14	15	11	11	19	13	23	21	12	15	7	6	2
10	5	3	7	14	24	18	13	11	19	18	13	12	3	1	8	12	18	20	16	12	3	3	5	4	24	7	24	19	24	13	7
9	6	4	8	13	23	17	14	12	20	17	14	11	4	2	7	11	17	19	15	11	4	4	6	3	23	8	23	20	23	14	8
17	3	23	22	24	9	2	16	12	10	12	24	5	8	11	11	5	3	11	12	20	3	19	20	16	15	16	17	3	4	16	16
18	4	24	21	23	10	1	15	11	9	11	23	6	7	12	12	6	4	12	11	19	4	20	19	15	16	15	18	4	3	15	15
19	1	21	24	22	11	3	14	10	12	10	22	7	6	9	9	15	23	22	9	16	5	8	3	16	2	7	4	12	18	23	11
20	2	22	23	21	12	4	13	9	11	9	21	8	5	10	10	16	24	21	10	15	6	7	4	15	1	8	3	11	17	24	12
21	8	17	20	18	13	5	11	18	20	15	4	5	24	5	18	4	11	20	4	3	12	20	4	7	20	4	19	24	19	12	3
22	7	18	19	17	14	6	12	17	19	16	3	6	23	6	17	3	12	19	3	4	11	19	3	8	19	3	20	23	20	11	4
23	6	20	17	19	15	8	10	20	18	13	2	8	22	7	19	15	4	5	1	12	20	23	12	1	6	13	13	24	5	22	24
24	5	19	18	20	16	7	9	19	17	14	1	7	21	8	20	16	3	6	2	11	19	24	11	2	5	14	14	23	6	21	23
18	19	16	1	7	22	5	18	7	15	22	8	8	13	24	8	17	20	16	2	8	22	5	18	8	15	22	8	8	14	23	8
17	20	15	2	8	21	6	17	8	16	21	7	7	14	23	7	18	19	15	1	7	21	6	17	7	16	21	7	7	13	24	7
20	18	13	4	6	24	8	19	5	13	23	6	6	15	21	6	1	6	13	14	22	5	24	21	18	9	4	9	10	14	14	21
19	17	14	3	5	23	7	20	6	14	24	5	5	16	22	5	2	5	14	13	21	6	23	22	17	10	3	10	9	13	13	22
22	23	10	8	1	20	3	22	22	16	6	16	15	10	11	20	17	4	23	21	23	10	1	15	12	9	11	24	6	8	12	12
21	24	9	7	2	19	4	21	21	15	5	15	16	9	12	19	18	3	24	22	24	9	2	16	11	10	12	23	5	7	11	11
23	22	11	6	4	18	2	24	23	13	8	13	13	12	9	18	16	13	14	18	2	4	13	14	8	4	11	12	18	1	20	17
24	21	12	5	3	17	1	23	24	14	7	14	14	11	10	17	15	14	13	17	1	3	14	13	7	3	12	11	17	2	19	18
24	15	6	14	16	12	12	19	13	24	22	12	15	8	5	2	6	13	22	6	6	14	21	6	1	10	17	2	2	9	17	1
23	16	5	13	15	11	11	20	14	23	21	11	16	7	6	1	5	14	21	5	5	13	22	5	2	9	18	1	1	10	18	2
22	14	8	16	14	10	9	18	16	22	23	9	13	6	8	4	24	21	11	6	3	18	2	23	23	13	8	13	13	12	9	18
21	13	7	15	13	9	10	17	15	21	24	10	14	5	7	3	23	22	12	5	4	17	1	24	24	14	7	14	14	11	10	17
20	9	3	12	11	13	16	24	22	8	19	19	18	14	8	12	14	16	16	20	4	1	16	16	5	2	10	10	20	4	17	19
19	10	4	11	12	14	15	23	21	7	20	20	17	13	7	11	13	15	15	19	3	2	15	15	6	1	9	9	19	3	18	20
18	12	2	9	10	16	14	22	24	5	18	18	20	16	6	10	18	11	2	9	9	16	13	21	23	6	17	17	20	16	5	10
17	11	1	10	9	15	13	21	23	6	17	17	19	15	5	9	17	12	1	10	10	15	14	22	24	5	18	18	19	15	6	9
