1	1	1	1	3	1	1	5	1	1	7	1	1	9	1	1	1	1	1	3	1	1	15	9	11	13	11	15	17	13	19	21	17	23	25	11	27	29	17	1	3
2	2	2	2	4	2	2	6	2	2	8	2	2	10	2	2	2	2	2	4	2	2	16	10	12	14	12	16	18	14	20	22	18	24	26	12	28	30	18	2	4
1	3	3	3	9	3	3	7	3	3	3	3	3	5	3	3	3	3	3	1	3	3	21	3	7	11	29	16	19	27	23	27	23	1	5	25	9	13	23	17	21
2	4	4	4	10	4	4	8	4	4	4	4	4	6	4	4	4	4	4	2	4	4	22	4	8	12	30	15	20	28	24	28	24	2	6	26	10	14	24	18	22
3	5	5	5	3	5	5	9	5	5	1	5	5	3	5	5	5	5	5	2	5	5	13	5	7	9	13	11	13	19	15	17	11	19	21	13	23	25	15	27	29
4	6	6	6	4	6	6	10	6	6	2	6	6	4	6	6	6	6	6	1	6	6	14	6	8	10	14	12	14	20	16	18	12	20	22	14	24	26	16	28	30
3	7	7	7	1	7	7	5	7	7	9	7	7	7	7	7	4	7	7	5	7	7	11	3	5	7	19	9	11	17	13	15	13	17	19	15	21	23	13	25	27
4	8	8	8	2	8	8	6	8	8	10	8	8	8	8	8	3	8	8	6	8	8	12	4	6	8	20	10	12	18	14	16	14	18	20	16	22	24	14	26	28
5	9	9	9	2	9	9	3	9	9	7	9	9	1	9	9	7	9	9	2	9	9	1	3	3	3	9	3	3	7	3	3	3	3	3	5	3	3	3	3	4
6	10	10	10	1	10	10	4	10	10	8	10	10	2	10	10	8	10	10	1	10	10	2	4	4	4	10	4	4	8	4	4	4	4	4	6	4	4	4	4	3
4	11	11	11	5	11	11	3	11	11	4	11	11	10	11	11	9	11	11	7	11	11	9	21	21	21	5	21	21	5	21	21	1	21	21	6	21	21	7	21	21
3	12	12	12	6	12	12	4	12	12	3	12	12	9	12	12	10	12	12	8	12	12	10	22	22	22	6	22	22	6	22	22	2	22	22	5	22	22	8	22	22
7	13	13	13	2	13	13	1	13	13	4	13	13	3	13	13	1	13	13	9	13	13	10	15	15	15	7	16	15	3	16	15	5	15	15	3	15	15	4	15	15
8	14	14	14	1	14	14	2	14	14	3	14	14	4	14	14	2	14	14	10	14	14	9	16	16	16	8	15	16	4	15	16	6	16	16	4	16	16	3	16	16
9	15	15	15	7	15	15	4	15	15	5	15	15	4	15	15	4	15	15	3	15	15	12	17	19	21	17	23	25	11	27	29	11	1	3	12	5	7	19	9	11
10	16	16	16	8	16	16	3	16	16	6	16	16	3	16	16	3	16	16	4	16	16	11	18	20	22	18	24	26	12	28	30	12	2	4	11	6	8	20	10	12
2	17	17	17	8	17	17	2	17	17	1	17	17	1	17	17	9	17	17	5	17	17	27	25	29	4	29	7	12	29	16	19	25	23	27	29	1	5	27	9	13
1	18	18	18	7	18	18	1	18	18	2	18	18	2	18	18	10	18	18	6	18	18	28	26	30	3	30	8	11	30	15	20	26	24	28	30	2	6	28	10	14
5	19	19	19	4	19	19	8	19	19	6	19	19	8	19	19	10	19	19	9	19	19	15	19	21	23	13	25	27	17	29	1	15	4	5	17	7	9	19	11	13
6	20	20	20	3	20	20	7	20	20	5	20	20	7	20	20	9	20	20	10	20	20	16	20	22	24	14	26	28	18	30	2	16	3	6	18	8	10	20	12	14
