1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
3	25	19	17	21	13	9	15	23	9	19	13	11	2	5	5	7	15	1	17	15	19	5	25	21	25	7	9	7	11	21	23	17	3	13	23	11
4	26	20	18	22	14	10	16	24	10	20	14	12	1	6	6	8	16	2	18	16	20	6	26	22	26	8	10	8	12	22	24	18	4	14	24	12
25	19	17	21	13	9	15	23	9	19	13	11	1	5	5	7	15	2	17	15	19	5	25	21	25	7	9	7	11	21	23	17	3	13	23	11	3
26	20	18	22	14	10	16	24	10	20	14	12	2	6	6	8	16	1	18	16	20	6	26	22	26	8	10	8	12	22	24	18	4	14	24	12	4
19	17	21	13	9	15	23	9	19	13	11	2	5	6	7	15	1	17	15	19	5	25	21	26	7	9	7	11	21	23	17	3	13	23	11	3	3
20	18	22	14	10	16	24	10	20	14	12	1	6	5	8	16	2	18	16	20	6	26	22	25	8	10	8	12	22	24	18	4	14	24	12	4	4
17	21	13	9	15	23	9	19	13	11	2	5	5	7	15	1	17	16	19	5	25	21	25	7	9	8	11	21	23	17	3	13	23	11	3	4	25
18	22	14	10	16	24	10	20	14	12	1	6	6	8	16	2	18	15	20	6	26	22	26	8	10	7	12	22	24	18	4	14	24	12	4	3	26
21	13	9	15	23	10	19	13	11	2	5	6	7	15	1	17	15	19	5	25	21	26	7	9	7	11	21	23	17	3	13	24	11	3	3	25	19
22	14	10	16	24	9	20	14	12	1	6	5	8	16	2	18	16	20	6	26	22	25	8	10	8	12	22	24	18	4	14	23	12	4	4	26	20
13	9	15	23	9	19	13	11	1	5	5	7	15	2	17	16	19	5	25	21	25	7	9	8	11	21	23	17	3	13	24	11	3	4	25	19	17
14	10	16	24	10	20	14	12	2	6	6	8	16	1	18	15	20	6	26	22	26	8	10	7	12	22	24	18	4	14	23	12	4	3	26	20	18
9	15	23	10	19	13	11	2	5	5	7	15	1	17	15	19	5	25	21	26	7	9	7	11	22	23	17	3	13	24	11	3	4	25	19	17	21
10	16	24	9	20	14	12	1	6	6	8	16	2	18	16	20	6	26	22	25	8	10	8	12	21	24	18	4	14	23	12	4	3	26	20	18	22
15	23	9	19	13	11	1	5	5	7	15	2	17	16	19	5	25	21	25	7	9	8	11	22	23	17	3	13	24	12	3	4	25	19	17	21	13
16	24	10	20	14	12	2	6	6	8	16	1	18	15	20	6	26	22	26	8	10	7	12	21	24	18	4	14	23	11	4	3	26	20	18	22	14
23	10	19	13	11	1	5	5	7	15	2	17	15	19	6	25	21	25	7	9	8	11	22	23	17	3	13	24	11	3	4	25	19	17	21	13	9
24	9	20	14	12	2	6	6	8	16	1	18	16	20	5	26	22	26	8	10	7	12	21	24	18	4	14	23	12	4	3	26	20	18	22	14	10
10	19	13	11	1	5	5	7	15	2	17	15	19	6	25	21	25	7	9	8	11	22	23	17	3	13	24	12	3	4	25	19	18	21	13	9	15
9	20	14	12	2	6	6	8	16	1	18	16	20	5	26	22	26	8	10	7	12	21	24	18	4	14	23	11	4	3	26	20	17	22	14	10	16
19	13	11	2	5	5	7	16	1	17	15	19	6	25	21	25	7	9	8	11	22	23	17	3	13	24	11	3	4	25	19	18	21	13	9	15	23
20	14	12	1	6	6	8	15	2	18	16	20	5	26	22	26	8	10	7	12	21	24	18	4	14	23	12	4	3	26	20	17	22	14	10	16	24
13	11	1	5	5	7	16	2	17	15	20	6	25	21	25	7	9	8	11	22	23	17	3	13	24	12	3	4	25	19	18	21	13	9	15	23	10
14	12	2	6	6	8	15	1	18	16	19	5	26	22	26	8	10	7	12	21	24	18	4	14	23	11	4	3	26	20	17	22	14	10	16	24	9
11	1	5	6	7	15	2	17	15	20	6	25	21	25	8	9	8	11	22	23	17	3	13	24	11	3	3	25	19	18	21	13	9	15	23	10	19
12	2	6	5	8	16	1	18	16	19	5	26	22	26	7	10	7	12	21	24	18	4	14	23	12	4	4	26	20	17	22	14	10	16	24	9	20
2	5	5	7	16	1	17	16	20	6	25	21	25	7	9	8	11	22	23	17	3	13	24	11	3	4	25	19	18	21	13	9	15	23	10	19	13
1	6	6	8	15	2	18	15	19	5	26	22	26	8	10	7	12	21	24	18	4	14	23	12	4	3	26	20	17	22	14	10	16	24	9	20	14
5	5	7	16	1	17	16	20	6	25	21	26	7	9	8	11	22	23	17	3	13	24	11	3	4	26	19	18	21	13	9	15	23	10	19	13	11
6	6	8	15	2	18	15	19	5	26	22	25	8	10	7	12	21	24	18	4	14	23	12	4	3	25	20	17	22	14	10	16	24	9	20	14	12
