1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
27	27	21	9	3	5	7	15	19	9	3	21	23	19	13	17	27	11	21	5	2	11	5	23	9	11	13	13	7	25	23	25	19	1	15	17	15	7	17	25
28	28	22	10	4	6	8	16	20	10	4	22	24	20	14	18	28	12	22	6	1	12	6	24	10	12	14	14	8	26	24	26	20	2	16	18	16	8	18	26
28	21	9	3	5	7	15	19	9	3	21	23	19	13	17	27	11	21	5	1	11	5	23	9	11	13	13	7	25	23	25	19	2	15	17	15	7	17	25	3
27	22	10	4	6	8	16	20	10	4	22	24	20	14	18	28	12	22	6	2	12	6	24	10	12	14	14	8	26	24	26	20	1	16	18	16	8	18	26	4
21	9	3	5	7	15	19	9	3	21	23	19	13	17	27	11	21	5	1	11	5	23	9	11	13	13	7	25	23	26	19	2	15	17	15	7	17	25	3	27
22	10	4	6	8	16	20	10	4	22	24	20	14	18	28	12	22	6	2	12	6	24	10	12	14	14	8	26	24	25	20	1	16	18	16	8	18	26	4	28
9	3	5	7	15	19	9	3	21	23	19	13	17	27	11	21	5	2	11	5	23	9	11	13	14	7	25	23	26	19	1	15	17	15	7	18	25	3	27	27
10	4	6	8	16	20	10	4	22	24	20	14	18	28	12	22	6	1	12	6	24	10	12	14	13	8	26	24	25	20	2	16	18	16	8	17	26	4	28	28
3	5	7	15	19	9	3	21	23	19	13	17	27	11	21	5	2	11	6	23	9	12	13	14	7	25	23	26	19	1	15	17	15	7	17	25	3	27	27	21
4	6	8	16	20	10	4	22	24	20	14	18	28	12	22	6	1	12	5	24	10	11	14	13	8	26	24	25	20	2	16	18	16	8	18	26	4	28	28	22
5	7	15	19	9	3	21	23	19	13	17	27	11	21	5	2	11	6	23	9	12	13	13	7	25	23	26	19	1	15	17	15	7	17	25	3	27	28	21	9
