1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13	27	19	11	9	25	23	25	19	3	7	19	9	15	7	5	23	15
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	14	28	20	12	10	26	24	26	20	4	8	20	10	16	8	6	24	16
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
17	9	13	5	5	21	1	13	21	13	25	17	9	9	25	21	25	17	4	5	15	21	13	27	19	11	11	26	23	25	19	3	7	19	11	15	7	23
18	10	14	6	6	22	2	14	22	14	26	18	10	10	26	22	26	18	3	6	16	22	14	28	20	12	12	25	24	26	20	4	8	20	12	16	8	24
19	11	15	7	7	23	4	15	23	15	27	19	11	11	27	23	27	19	1	7	19	1	7	17	11	15	7	5	21	4	15	23	15	25	19	9	11	24
20	12	16	8	8	24	3	16	24	16	28	20	12	12	28	24	28	20	2	8	20	2	8	18	12	16	8	6	22	3	16	24	16	26	20	10	12	23
9	13	5	8	21	2	13	21	13	25	17	9	9	25	21	25	17	3	5	17	9	13	5	7	21	2	13	21	13	26	17	9	9	25	21	25	17	5
10	14	6	7	22	1	14	22	14	26	18	10	10	26	22	26	18	4	6	18	10	14	6	8	22	1	14	22	14	25	18	10	10	26	22	26	18	6
11	15	7	6	23	3	15	23	15	27	19	11	12	27	23	27	19	1	7	19	5	7	21	3	13	23	15	26	17	9	9	25	21	25	17	2	5	9
12	16	8	5	24	4	16	24	16	28	20	12	11	28	24	28	20	2	8	20	6	8	22	4	14	24	16	25	18	10	10	26	22	26	18	1	6	10
13	5	8	21	1	13	21	16	25	17	9	9	25	21	26	17	4	5	17	9	23	28	17	3	5	17	11	15	7	7	21	1	13	23	15	26	19	11
14	6	7	22	2	14	22	15	26	18	10	10	26	22	25	18	3	6	18	10	24	27	18	4	6	18	12	16	8	8	22	2	14	24	16	25	20	12
15	7	5	23	4	15	23	14	27	19	11	11	27	23	27	19	1	7	19	11	15	25	18	9	12	27	21	27	18	1	5	17	11	13	5	7	21	13
16	8	6	24	3	16	24	13	28	20	12	12	28	24	28	20	2	8	20	12	16	26	17	10	11	28	22	28	17	2	6	18	12	14	6	8	22	14
5	7	21	3	13	24	16	25	17	9	10	25	21	26	17	1	5	18	9	13	7	5	23	2	15	21	13	28	20	11	11	27	23	27	19	3	7	11
