2	5	1	7	12	13	2	17	20	23	3	18	25	22	4	27	10	5	16	8	24	6	19	6	9	1	24	22	4	1	15	21	13	25	26	
3	6	1	8	13	14	3	18	21	24	6	19	26	23	6	1	11	2	17	9	25	2	20	7	10	25	25	23	5	6	16	22	14	3	27	
4	7	3	9	14	15	2	19	22	25	1	20	27	24	25	2	12	6	18	10	26	2	21	8	11	2	26	24	6	4	17	23	15	6	1	
5	8	6	10	15	16	3	20	23	26	3	21	1	25	3	3	13	25	19	11	27	5	22	9	12	2	27	25	7	2	18	24	16	2	2	
6	9	4	11	16	17	6	21	24	27	1	22	2	26	4	4	14	3	20	12	1	1	23	10	13	26	1	26	8	2	19	25	17	1	3	
7	10	2	12	17	18	25	22	25	1	6	23	3	27	3	5	15	5	21	13	2	3	24	11	14	6	2	27	9	4	20	26	18	1	4	
8	11	2	13	18	19	1	23	26	2	5	24	4	1	26	6	16	3	22	14	3	6	25	12	15	3	3	1	10	6	21	27	19	2	5	
9	12	4	14	19	20	1	24	27	3	2	25	5	2	6	7	17	26	23	15	4	3	26	13	16	1	4	2	11	3	22	1	20	6	6	
10	13	6	15	20	21	26	25	1	4	2	26	6	3	2	8	18	6	24	16	5	1	27	14	17	3	5	3	12	1	23	2	21	3	7	
11	14	3	16	21	22	6	26	2	5	5	27	7	4	2	9	19	2	25	17	6	5	1	15	18	6	6	4	13	3	24	3	22	26	8	
12	15	1	17	22	23	5	27	3	6	4	1	8	5	2	10	20	3	26	18	7	3	2	16	19	2	7	5	14	25	25	4	23	5	9	
13	16	5	18	23	24	2	1	4	7	25	2	9	6	1	11	21	2	27	19	8	3	3	17	20	3	8	6	15	2	26	5	24	4	10	
14	17	25	19	24	25	5	2	5	8	3	3	10	7	5	12	22	4	1	20	9	2	4	18	21	3	9	7	16	3	27	6	25	1	11	
15	18	2	20	25	26	4	3	6	9	26	4	11	8	4	13	23	1	2	21	10	4	5	19	22	2	10	8	17	3	1	7	26	3	12	
16	19	3	21	26	27	1	4	7	10	4	5	12	9	5	14	24	5	3	22	11	25	6	20	23	4	11	9	18	2	2	8	27	3	13	
17	20	3	22	27	1	3	5	8	11	2	6	13	10	1	15	25	1	4	23	12	6	7	21	24	5	12	10	19	26	3	9	1	1	14	
18	21	2	23	1	2	3	6	9	12	1	7	14	11	2	16	26	4	5	24	13	26	8	22	25	1	13	11	20	5	4	10	2	4	15	
19	22	26	24	2	3	1	7	10	13	1	8	15	12	3	17	27	2	6	25	14	4	9	23	26	5	14	12	21	1	5	11	3	5	16	
20	23	5	25	3	4	4	8	11	14	2	9	16	13	3	18	1	3	7	26	15	2	10	24	27	4	15	13	22	5	6	12	4	27	17	
21	24	1	26	4	5	4	9	12	15	5	10	17	14	5	19	2	27	8	27	16	1	11	25	1	5	16	14	23	4	7	13	5	4	18	
22	25	27	27	5	6	2	10	13	16	4	11	18	15	6	20	3	1	9	1	17	1	12	26	2	6	17	15	24	5	8	14	6	2	19	
23	26	4	1	6	7	4	11	14	17	3	12	19	16	1	21	4	6	10	2	18	27	13	27	3	6	18	16	25	6	9	15	7	5	20	
24	27	5	2	7	8	27	12	15	18	4	13	20	17	4	22	5	4	11	3	19	5	14	1	4	5	19	17	26	6	10	16	8	6	21	
25	1	6	3	8	9	5	13	16	19	5	14	21	18	1	23	6	5	12	4	20	4	15	2	5	27	20	18	27	5	11	17	9	6	22	
26	2	6	4	9	10	6	14	17	20	27	15	22	19	6	24	7	4	13	5	21	6	16	3	6	4	21	19	1	4	12	18	10	5	23	
27	3	5	5	10	11	6	15	18	21	6	16	23	20	5	25	8	6	14	6	22	4	17	4	7	1	22	20	2	27	13	19	11	2	24	
1	4	4	6	11	12	5	16	19	22	6	17	24	21	27	26	9	1	15	7	23	5	18	5	8	4	23	21	3	1	14	20	12	4	25	
3	9	7	13	23	25	8	4	8	16	9	12	22	20	10	26	18	11	6	17	15	12	21	11	4	7	27	2	14	7	1	10	5	25	22	
4	10	7	14	24	26	9	5	9	17	12	13	23	21	12	27	19	8	7	18	16	8	22	12	5	25	1	3	15	12	2	11	6	9	23	
5	11	9	15	25	27	8	6	10	18	7	14	24	22	25	1	20	12	8	19	17	8	23	13	6	8	2	4	16	10	3	12	7	12	24	
6	12	12	16	26	1	9	7	11	19	9	15	25	23	9	2	21	25	9	20	18	11	24	14	7	8	3	5	17	8	4	13	8	8	25	
7	13	10	17	27	2	12	8	12	20	7	16	26	24	10	3	22	9	10	21	19	7	25	15	8	26	4	6	18	8	5	14	9	7	26	
8	14	8	18	1	3	25	9	13	21	12	17	27	25	9	4	23	11	11	22	20	9	26	16	9	12	5	7	19	10	6	15	10	7	27	
9	15	8	19	2	4	7	10	14	22	11	18	1	26	26	5	24	9	12	23	21	12	27	17	10	9	6	8	20	12	7	16	11	8	1	
