1	nuke	4	7	13	9	3	
2	3	5	8	14	10	nuke	
3	4	6	9	15	11	nuke	
4	5	7	10	16	12	nuke	
5	6	8	11	1	13	nuke	
6	7	9	12	nuke	14	1	
7	8	10	13	3	15	nuke	
8	9	11	14	4	16	nuke	
9	10	12	15	5	1	nuke	
10	11	13	16	6	nuke	1	
11	12	14	1	7	3	nuke	
12	13	15	nuke	8	4	1	
13	14	16	3	9	5	nuke	
14	15	1	4	10	6	nuke	
15	16	nuke	5	11	7	1	
16	1	3	6	12	8	nuke	
1	3	7	11	2	15	nuke	
2	nuke	8	12	3	16	3	
3	5	9	13	nuke	1	2	
4	6	10	14	5	2	nuke	
5	7	11	15	6	3	nuke	
6	8	12	16	7	nuke	2	
7	9	13	1	8	5	nuke	
8	10	14	2	9	6	nuke	
9	11	15	3	10	7	nuke	
10	12	16	nuke	11	8	2	
11	13	1	5	12	9	nuke	
12	14	2	6	13	10	nuke	
13	15	3	7	14	11	nuke	
14	16	nuke	8	15	12	2	
15	1	5	9	16	13	nuke	
16	2	6	10	1	14	nuke	
1	4	9	14	6	5	nuke	
2	5	10	15	7	6	nuke	
3	6	11	16	8	7	nuke	
4	7	12	1	9	8	nuke	
5	8	13	2	10	9	nuke	
6	9	14	3	11	10	nuke	
7	10	15	4	12	11	nuke	
8	11	16	5	13	12	nuke	
9	12	1	6	14	13	nuke	
10	13	2	7	15	14	nuke	
11	14	3	8	16	15	nuke	
12	15	4	9	1	16	nuke	
13	16	5	10	2	1	nuke	
14	1	6	11	3	2	nuke	
15	2	7	12	4	3	nuke	
16	3	8	13	5	4	nuke	
1	5	8	6	11	2	nuke	
2	6	9	7	12	3	nuke	
3	7	10	8	13	4	nuke	
4	8	11	9	14	5	nuke	
5	9	12	10	15	6	nuke	
6	10	13	11	16	7	nuke	
7	11	14	12	1	8	nuke	
8	12	15	13	2	9	nuke	
9	13	16	14	3	10	nuke	
10	14	1	15	4	11	nuke	
11	15	2	16	5	12	nuke	
12	16	3	1	6	13	nuke	
13	1	4	2	7	14	nuke	
14	2	5	3	8	15	nuke	
15	3	6	4	9	16	nuke	
16	4	7	5	10	1	nuke	
nuke	2	2	2	2	2	3	
nuke	4	4	4	4	4	3	
