1	2	4	--	8	5	3	
2	3	5	17	9	6	--	
3	4	6	18	10	7	--	
4	5	7	19	11	8	--	
5	6	8	20	12	9	--	
6	7	9	1	13	10	--	
7	8	10	2	14	11	--	
8	9	11	3	15	12	--	
9	10	12	4	--	13	1	
10	11	13	5	17	14	--	
11	12	14	6	18	15	--	
12	13	15	7	19	--	1	
13	14	--	8	20	17	1	
14	15	17	9	1	18	--	
15	--	18	10	2	19	1	
16	17	19	11	3	20	--	
17	18	20	12	4	1	--	
18	19	1	13	5	2	--	
19	20	2	14	6	3	--	
20	1	3	15	7	4	--	
1	3	7	20	13	11	--	
2	4	8	--	14	12	3	
3	5	9	2	15	13	--	
4	6	10	3	16	14	--	
5	7	11	4	17	15	--	
6	8	12	5	18	16	--	
7	9	13	6	19	17	--	
8	10	14	7	20	18	--	
9	11	15	8	--	19	2	
10	12	16	9	2	20	--	
11	13	17	10	3	--	2	
12	14	18	11	4	2	--	
13	15	19	12	5	3	--	
14	16	20	13	6	4	--	
15	17	--	14	7	5	2	
16	18	2	15	8	6	--	
17	19	3	16	9	7	--	
18	20	4	17	10	8	--	
19	--	5	18	11	9	2	
20	2	6	19	12	10	--	
1	4	9	3	11	15	--	
2	5	10	4	12	16	--	
3	6	11	5	13	17	--	
4	7	12	6	14	18	--	
5	8	13	7	15	19	--	
6	9	14	8	16	20	--	
7	10	15	9	17	1	--	
8	11	16	10	18	2	--	
9	12	17	11	19	3	--	
10	13	18	12	20	4	--	
11	14	19	13	1	5	--	
12	15	20	14	2	6	--	
13	16	1	15	3	7	--	
14	17	2	16	4	8	--	
15	18	3	17	5	9	--	
16	19	4	18	6	10	--	
17	20	5	19	7	11	--	
18	1	6	20	8	12	--	
19	2	7	1	9	13	--	
20	3	8	2	10	14	--	
1	5	14	12	3	2	--	
2	6	15	13	4	3	--	
3	7	16	14	5	4	--	
4	8	17	15	6	5	--	
5	9	18	16	7	6	--	
6	10	19	17	8	7	--	
7	11	20	18	9	8	--	
8	12	1	19	10	9	--	
9	13	2	20	11	10	--	
10	14	3	1	12	11	--	
11	15	4	2	13	12	--	
12	16	5	3	14	13	--	
13	17	6	4	15	14	--	
14	18	7	5	16	15	--	
15	19	8	6	17	16	--	
16	20	9	7	18	17	--	
17	1	10	8	19	18	--	
18	2	11	9	20	19	--	
19	3	12	10	1	20	--	
20	4	13	11	2	1	--	
--	16	16	16	16	16	3	
--	1	1	1	1	1	3	
