1	--	5	7	10	11	3	
2	3	6	8	11	12	--	
3	4	7	9	12	13	--	
4	5	8	10	13	14	--	
5	6	9	11	14	15	--	
6	7	10	12	15	16	--	
7	8	11	13	16	17	--	
8	9	12	14	17	18	--	
9	10	13	15	18	19	--	
10	11	14	16	19	20	--	
11	12	15	17	20	21	--	
12	13	16	18	21	22	--	
13	14	17	19	22	23	--	
14	15	18	20	23	24	--	
15	16	19	21	24	25	--	
16	17	20	22	25	26	--	
17	18	21	23	26	1	--	
18	19	22	24	1	--	1	
19	20	23	25	--	3	1	
20	21	24	26	3	4	--	
21	22	25	1	4	5	--	
22	23	26	--	5	6	1	
23	24	1	3	6	7	--	
24	25	--	4	7	8	1	
25	26	3	5	8	9	--	
26	1	4	6	9	10	--	
1	3	9	13	19	21	--	
2	--	10	14	20	22	3	
3	5	11	15	21	23	--	
4	6	12	16	22	24	--	
5	7	13	17	23	25	--	
6	8	14	18	24	26	--	
7	9	15	19	25	1	--	
8	10	16	20	26	2	--	
9	11	17	21	1	3	--	
10	12	18	22	2	--	2	
11	13	19	23	3	5	--	
12	14	20	24	--	6	2	
13	15	21	25	5	7	--	
14	16	22	26	6	8	--	
15	17	23	1	7	9	--	
16	18	24	2	8	10	--	
17	19	25	3	9	11	--	
18	20	26	--	10	12	2	
19	21	1	5	11	13	--	
20	22	2	6	12	14	--	
21	23	3	7	13	15	--	
22	24	--	8	14	16	2	
23	25	5	9	15	17	--	
24	26	6	10	16	18	--	
25	1	7	11	17	19	--	
26	2	8	12	18	20	--	
1	4	12	17	2	5	--	
2	5	13	18	3	6	--	
3	6	14	19	4	7	--	
4	7	15	20	5	8	--	
5	8	16	21	6	9	--	
6	9	17	22	7	10	--	
7	10	18	23	8	11	--	
8	11	19	24	9	12	--	
9	12	20	25	10	13	--	
10	13	21	26	11	14	--	
11	14	22	1	12	15	--	
12	15	23	2	13	16	--	
13	16	24	3	14	17	--	
14	17	25	4	15	18	--	
15	18	26	5	16	19	--	
16	19	1	6	17	20	--	
17	20	2	7	18	21	--	
18	21	3	8	19	22	--	
19	22	4	9	20	23	--	
20	23	5	10	21	24	--	
21	24	6	11	22	25	--	
22	25	7	12	23	26	--	
23	26	8	13	24	1	--	
24	1	9	14	25	2	--	
25	2	10	15	26	3	--	
26	3	11	16	1	4	--	
1	5	14	26	9	2	--	
2	6	15	1	10	3	--	
3	7	16	2	11	4	--	
4	8	17	3	12	5	--	
5	9	18	4	13	6	--	
6	10	19	5	14	7	--	
7	11	20	6	15	8	--	
8	12	21	7	16	9	--	
9	13	22	8	17	10	--	
10	14	23	9	18	11	--	
11	15	24	10	19	12	--	
12	16	25	11	20	13	--	
13	17	26	12	21	14	--	
14	18	1	13	22	15	--	
15	19	2	14	23	16	--	
16	20	3	15	24	17	--	
17	21	4	16	25	18	--	
18	22	5	17	26	19	--	
19	23	6	18	1	20	--	
20	24	7	19	2	21	--	
21	25	8	20	3	22	--	
22	26	9	21	4	23	--	
23	1	10	22	5	24	--	
24	2	11	23	6	25	--	
25	3	12	24	7	26	--	
26	4	13	25	8	1	--	
--	2	2	2	2	2	3	
--	4	4	4	4	4	3	
