1	2	3	4	--	6	3	
2	3	4	--	6	7	1	
3	4	--	6	7	8	1	
4	--	6	7	8	9	1	
5	6	7	8	9	10	--	
6	7	8	9	10	11	--	
7	8	9	10	11	1	--	
8	9	10	11	1	2	--	
9	10	11	1	2	3	--	
10	11	1	2	3	4	--	
11	1	2	3	4	--	1	
1	3	5	7	9	11	--	
2	4	6	8	--	1	3	
3	5	7	9	11	2	--	
4	6	8	--	1	3	2	
5	7	9	11	2	4	--	
6	8	--	1	3	5	2	
7	9	11	2	4	6	--	
8	--	1	3	5	7	2	
9	11	2	4	6	8	--	
10	1	3	5	7	9	--	
11	2	4	6	8	--	2	
1	4	7	10	2	5	--	
2	5	8	11	3	6	--	
3	6	9	1	4	7	--	
4	7	10	2	5	8	--	
5	8	11	3	6	9	--	
6	9	1	4	7	10	--	
7	10	2	5	8	11	--	
8	11	3	6	9	1	--	
9	1	4	7	10	2	--	
10	2	5	8	11	3	--	
11	3	6	9	1	4	--	
1	5	9	2	6	10	--	
2	6	10	3	7	11	--	
3	7	11	4	8	1	--	
4	8	1	5	9	2	--	
5	9	2	6	10	3	--	
6	10	3	7	11	4	--	
7	11	4	8	1	5	--	
8	1	5	9	2	6	--	
9	2	6	10	3	7	--	
10	3	7	11	4	8	--	
11	4	8	1	5	9	--	
--	5	5	5	5	5	3	
--	10	10	10	10	10	3	
