1	nuke	8	5	12	6	3	
2	3	9	6	13	7	nuke	
3	4	10	7	14	8	nuke	
4	5	11	8	1	9	nuke	
5	6	12	9	nuke	10	1	
6	7	13	10	3	11	nuke	
7	8	14	11	4	12	nuke	
8	9	1	12	5	13	nuke	
9	10	nuke	13	6	14	1	
10	11	3	14	7	1	nuke	
11	12	4	1	8	nuke	1	
12	13	5	nuke	9	3	1	
13	14	6	3	10	4	nuke	
14	1	7	4	11	5	nuke	
1	3	10	8	2	11	nuke	
2	nuke	11	9	3	12	3	
3	5	12	10	nuke	13	2	
4	6	13	11	5	14	nuke	
5	7	14	12	6	1	nuke	
6	8	1	13	7	2	nuke	
7	9	2	14	8	3	nuke	
8	10	3	1	9	nuke	2	
9	11	nuke	2	10	5	2	
10	12	5	3	11	6	nuke	
11	13	6	nuke	12	7	2	
12	14	7	5	13	8	nuke	
13	1	8	6	14	9	nuke	
14	2	9	7	1	10	nuke	
1	4	9	10	5	2	nuke	
2	5	10	11	6	3	nuke	
3	6	11	12	7	4	nuke	
4	7	12	13	8	5	nuke	
5	8	13	14	9	6	nuke	
6	9	14	1	10	7	nuke	
7	10	1	2	11	8	nuke	
8	11	2	3	12	9	nuke	
9	12	3	4	13	10	nuke	
10	13	4	5	14	11	nuke	
11	14	5	6	1	12	nuke	
12	1	6	7	2	13	nuke	
13	2	7	8	3	14	nuke	
14	3	8	9	4	1	nuke	
1	5	6	14	11	12	nuke	
2	6	7	1	12	13	nuke	
3	7	8	2	13	14	nuke	
4	8	9	3	14	1	nuke	
5	9	10	4	1	2	nuke	
6	10	11	5	2	3	nuke	
7	11	12	6	3	4	nuke	
8	12	13	7	4	5	nuke	
9	13	14	8	5	6	nuke	
10	14	1	9	6	7	nuke	
11	1	2	10	7	8	nuke	
12	2	3	11	8	9	nuke	
13	3	4	12	9	10	nuke	
14	4	5	13	10	11	nuke	
nuke	2	2	2	2	2	3	
nuke	4	4	4	4	4	3	
