1	--	7	11	14	6	3	
2	3	8	12	15	7	--	
3	4	9	13	1	8	--	
4	5	10	14	--	9	1	
5	6	11	15	3	10	--	
6	7	12	1	4	11	--	
7	8	13	--	5	12	1	
8	9	14	3	6	13	--	
9	10	15	4	7	14	--	
10	11	1	5	8	15	--	
11	12	--	6	9	1	1	
12	13	3	7	10	--	1	
13	14	4	8	11	3	--	
14	15	5	9	12	4	--	
15	1	6	10	13	5	--	
1	3	10	15	--	13	2	
2	--	11	1	5	14	3	
3	5	12	2	6	15	--	
4	6	13	3	7	1	--	
5	7	14	--	8	2	2	
6	8	15	5	9	3	--	
7	9	1	6	10	--	2	
8	10	2	7	11	5	--	
9	11	3	8	12	6	--	
10	12	--	9	13	7	2	
11	13	5	10	14	8	--	
12	14	6	11	15	9	--	
13	15	7	12	1	10	--	
14	1	8	13	2	11	--	
15	2	9	14	3	12	--	
1	4	12	3	8	5	--	
2	5	13	4	9	6	--	
3	6	14	5	10	7	--	
4	7	15	6	11	8	--	
5	8	1	7	12	9	--	
6	9	2	8	13	10	--	
7	10	3	9	14	11	--	
8	11	4	10	15	12	--	
9	12	5	11	1	13	--	
10	13	6	12	2	14	--	
11	14	7	13	3	15	--	
12	15	8	14	4	1	--	
13	1	9	15	5	2	--	
14	2	10	1	6	3	--	
15	3	11	2	7	4	--	
1	5	8	6	13	2	--	
2	6	9	7	14	3	--	
3	7	10	8	15	4	--	
4	8	11	9	1	5	--	
5	9	12	10	2	6	--	
6	10	13	11	3	7	--	
7	11	14	12	4	8	--	
8	12	15	13	5	9	--	
9	13	1	14	6	10	--	
10	14	2	15	7	11	--	
11	15	3	1	8	12	--	
12	1	4	2	9	13	--	
13	2	5	3	10	14	--	
14	3	6	4	11	15	--	
15	4	7	5	12	1	--	
--	2	2	2	2	2	3	
--	4	4	4	4	4	3	
