1	--	9	11	6	8	3	
2	3	10	12	7	9	--	
3	4	11	13	8	10	--	
4	5	12	14	9	11	--	
5	6	13	15	10	12	--	
6	7	14	16	11	13	--	
7	8	15	17	12	14	--	
8	9	16	18	13	15	--	
9	10	17	1	14	16	--	
10	11	18	--	15	17	1	
11	12	1	3	16	18	--	
12	13	--	4	17	1	1	
13	14	3	5	18	--	1	
14	15	4	6	1	3	--	
15	16	5	7	--	4	1	
16	17	6	8	3	5	--	
17	18	7	9	4	6	--	
18	1	8	10	5	7	--	
1	3	12	15	11	14	--	
2	--	13	16	12	15	3	
3	5	14	17	13	16	--	
4	6	15	18	14	17	--	
5	7	16	1	15	18	--	
6	8	17	2	16	1	--	
7	9	18	3	17	2	--	
8	10	1	--	18	3	2	
9	11	2	5	1	--	2	
10	12	3	6	2	5	--	
11	13	--	7	3	6	2	
12	14	5	8	--	7	2	
13	15	6	9	5	8	--	
14	16	7	10	6	9	--	
15	17	8	11	7	10	--	
16	18	9	12	8	11	--	
17	1	10	13	9	12	--	
18	2	11	14	10	13	--	
1	4	14	18	9	2	--	
2	5	15	1	10	3	--	
3	6	16	2	11	4	--	
4	7	17	3	12	5	--	
5	8	18	4	13	6	--	
6	9	1	5	14	7	--	
7	10	2	6	15	8	--	
8	11	3	7	16	9	--	
9	12	4	8	17	10	--	
10	13	5	9	18	11	--	
11	14	6	10	1	12	--	
12	15	7	11	2	13	--	
13	16	8	12	3	14	--	
14	17	9	13	4	15	--	
15	18	10	14	5	16	--	
16	1	11	15	6	17	--	
17	2	12	16	7	18	--	
18	3	13	17	8	1	--	
1	5	2	12	18	10	--	
2	6	3	13	1	11	--	
3	7	4	14	2	12	--	
4	8	5	15	3	13	--	
5	9	6	16	4	14	--	
6	10	7	17	5	15	--	
7	11	8	18	6	16	--	
8	12	9	1	7	17	--	
9	13	10	2	8	18	--	
10	14	11	3	9	1	--	
11	15	12	4	10	2	--	
12	16	13	5	11	3	--	
13	17	14	6	12	4	--	
14	18	15	7	13	5	--	
15	1	16	8	14	6	--	
16	2	17	9	15	7	--	
17	3	18	10	16	8	--	
18	4	1	11	17	9	--	
--	2	2	2	2	2	3	
--	4	4	4	4	4	3	
