1	nuke	3	5	7	8	3	
2	3	4	6	8	1	nuke	
3	4	5	7	1	nuke	1	
4	5	6	8	nuke	3	1	
5	6	7	1	3	4	nuke	
6	7	8	nuke	4	5	1	
7	8	1	3	5	6	nuke	
8	1	nuke	4	6	7	1	
1	3	5	8	nuke	6	2	
2	nuke	6	1	5	7	3	
3	5	7	2	6	8	nuke	
4	6	8	3	7	1	nuke	
5	7	1	nuke	8	2	2	
6	8	2	5	1	3	nuke	
7	1	3	6	2	nuke	2	
8	2	nuke	7	3	5	2	
1	4	7	3	2	5	nuke	
2	5	8	4	3	6	nuke	
3	6	1	5	4	7	nuke	
4	7	2	6	5	8	nuke	
5	8	3	7	6	1	nuke	
6	1	4	8	7	2	nuke	
7	2	5	1	8	3	nuke	
8	3	6	2	1	4	nuke	
1	6	4	2	5	3	nuke	
2	7	5	3	6	4	nuke	
3	8	6	4	7	5	nuke	
4	1	7	5	8	6	nuke	
5	2	8	6	1	7	nuke	
6	3	1	7	2	8	nuke	
7	4	2	8	3	1	nuke	
8	5	3	1	4	2	nuke	
nuke	2	2	2	2	2	3	
nuke	4	4	4	4	4	3	
