1	2	3	4	--	6	3	
2	3	4	--	6	7	1	
3	4	--	6	7	8	1	
4	--	6	7	8	9	1	
5	6	7	8	9	10	--	
6	7	8	9	10	11	--	
7	8	9	10	11	12	--	
8	9	10	11	12	13	--	
9	10	11	12	13	14	--	
10	11	12	13	14	15	--	
11	12	13	14	15	16	--	
12	13	14	15	16	17	--	
13	14	15	16	17	1	--	
14	15	16	17	1	2	--	
15	16	17	1	2	3	--	
16	17	1	2	3	4	--	
17	1	2	3	4	--	1	
1	3	5	7	9	11	--	
2	4	6	8	--	12	3	
3	5	7	9	11	13	--	
4	6	8	--	12	14	2	
5	7	9	11	13	15	--	
6	8	--	12	14	16	2	
7	9	11	13	15	17	--	
8	--	12	14	16	1	2	
9	11	13	15	17	2	--	
10	12	14	16	1	3	--	
11	13	15	17	2	4	--	
12	14	16	1	3	5	--	
13	15	17	2	4	6	--	
14	16	1	3	5	7	--	
15	17	2	4	6	8	--	
16	1	3	5	7	9	--	
17	2	4	6	8	--	2	
1	4	7	10	13	16	--	
2	5	8	11	14	17	--	
3	6	9	12	15	1	--	
4	7	10	13	16	2	--	
5	8	11	14	17	3	--	
6	9	12	15	1	4	--	
7	10	13	16	2	5	--	
8	11	14	17	3	6	--	
9	12	15	1	4	7	--	
10	13	16	2	5	8	--	
11	14	17	3	6	9	--	
12	15	1	4	7	10	--	
13	16	2	5	8	11	--	
14	17	3	6	9	12	--	
15	1	4	7	10	13	--	
16	2	5	8	11	14	--	
17	3	6	9	12	15	--	
1	5	9	13	17	4	--	
2	6	10	14	1	5	--	
3	7	11	15	2	6	--	
4	8	12	16	3	7	--	
5	9	13	17	4	8	--	
6	10	14	1	5	9	--	
7	11	15	2	6	10	--	
8	12	16	3	7	11	--	
9	13	17	4	8	12	--	
10	14	1	5	9	13	--	
11	15	2	6	10	14	--	
12	16	3	7	11	15	--	
13	17	4	8	12	16	--	
14	1	5	9	13	17	--	
15	2	6	10	14	1	--	
16	3	7	11	15	2	--	
17	4	8	12	16	3	--	
--	5	5	5	5	5	3	
--	10	10	10	10	10	3	
