1	--	5	7	10	11	3	
2	3	6	8	11	12	--	
3	4	7	9	12	13	--	
4	5	8	10	13	14	--	
5	6	9	11	14	15	--	
6	7	10	12	15	16	--	
7	8	11	13	16	17	--	
8	9	12	14	17	18	--	
9	10	13	15	18	19	--	
10	11	14	16	19	20	--	
11	12	15	17	20	21	--	
12	13	16	18	21	22	--	
13	14	17	19	22	23	--	
14	15	18	20	23	24	--	
15	16	19	21	24	25	--	
16	17	20	22	25	26	--	
17	18	21	23	26	27	--	
18	19	22	24	27	28	--	
19	20	23	25	28	1	--	
20	21	24	26	1	--	1	
21	22	25	27	--	3	1	
22	23	26	28	3	4	--	
23	24	27	1	4	5	--	
24	25	28	--	5	6	1	
25	26	1	3	6	7	--	
26	27	--	4	7	8	1	
27	28	3	5	8	9	--	
28	1	4	6	9	10	--	
1	3	9	13	19	21	--	
2	--	10	14	20	22	3	
3	5	11	15	21	23	--	
4	6	12	16	22	24	--	
5	7	13	17	23	25	--	
6	8	14	18	24	26	--	
7	9	15	19	25	27	--	
8	10	16	20	26	28	--	
9	11	17	21	27	1	--	
10	12	18	22	28	2	--	
11	13	19	23	1	3	--	
12	14	20	24	2	--	2	
13	15	21	25	3	5	--	
14	16	22	26	--	6	2	
15	17	23	27	5	7	--	
16	18	24	28	6	8	--	
17	19	25	1	7	9	--	
18	20	26	2	8	10	--	
19	21	27	3	9	11	--	
20	22	28	--	10	12	2	
21	23	1	5	11	13	--	
22	24	2	6	12	14	--	
23	25	3	7	13	15	--	
24	26	--	8	14	16	2	
25	27	5	9	15	17	--	
26	28	6	10	16	18	--	
27	1	7	11	17	19	--	
28	2	8	12	18	20	--	
1	4	12	17	25	3	--	
2	5	13	18	26	4	--	
3	6	14	19	27	5	--	
4	7	15	20	28	6	--	
5	8	16	21	1	7	--	
6	9	17	22	2	8	--	
7	10	18	23	3	9	--	
8	11	19	24	4	10	--	
9	12	20	25	5	11	--	
10	13	21	26	6	12	--	
11	14	22	27	7	13	--	
12	15	23	28	8	14	--	
13	16	24	1	9	15	--	
14	17	25	2	10	16	--	
15	18	26	3	11	17	--	
16	19	27	4	12	18	--	
17	20	28	5	13	19	--	
18	21	1	6	14	20	--	
19	22	2	7	15	21	--	
20	23	3	8	16	22	--	
21	24	4	9	17	23	--	
22	25	5	10	18	24	--	
23	26	6	11	19	25	--	
24	27	7	12	20	26	--	
25	28	8	13	21	27	--	
26	1	9	14	22	28	--	
27	2	10	15	23	1	--	
28	3	11	16	24	2	--	
1	5	14	25	9	6	--	
2	6	15	26	10	7	--	
3	7	16	27	11	8	--	
4	8	17	28	12	9	--	
5	9	18	1	13	10	--	
6	10	19	2	14	11	--	
7	11	20	3	15	12	--	
8	12	21	4	16	13	--	
9	13	22	5	17	14	--	
10	14	23	6	18	15	--	
11	15	24	7	19	16	--	
12	16	25	8	20	17	--	
13	17	26	9	21	18	--	
14	18	27	10	22	19	--	
15	19	28	11	23	20	--	
16	20	1	12	24	21	--	
17	21	2	13	25	22	--	
18	22	3	14	26	23	--	
19	23	4	15	27	24	--	
20	24	5	16	28	25	--	
21	25	6	17	1	26	--	
22	26	7	18	2	27	--	
23	27	8	19	3	28	--	
24	28	9	20	4	1	--	
25	1	10	21	5	2	--	
26	2	11	22	6	3	--	
27	3	12	23	7	4	--	
28	4	13	24	8	5	--	
--	2	2	2	2	2	3	
--	4	4	4	4	4	3	
