1	6	9	--	2	8	3	
2	7	1	6	3	9	--	
3	8	2	7	4	1	--	
4	9	3	8	--	2	1	
5	1	4	9	6	3	--	
6	2	--	1	7	4	1	
7	3	6	2	8	--	1	
8	4	7	3	9	6	--	
9	--	8	4	1	7	1	
1	8	3	9	7	5	--	
2	9	4	--	8	6	3	
3	--	5	2	9	7	2	
4	2	6	3	--	8	2	
5	3	7	4	2	9	--	
6	4	8	5	3	--	2	
7	5	9	6	4	2	--	
8	6	--	7	5	3	2	
9	7	2	8	6	4	--	
1	7	6	4	9	2	--	
2	8	7	5	1	3	--	
3	9	8	6	2	4	--	
4	1	9	7	3	5	--	
5	2	1	8	4	6	--	
6	3	2	9	5	7	--	
7	4	3	1	6	8	--	
8	5	4	2	7	9	--	
9	6	5	3	8	1	--	
1	2	8	7	6	9	--	
2	3	9	8	7	1	--	
3	4	1	9	8	2	--	
4	5	2	1	9	3	--	
5	6	3	2	1	4	--	
6	7	4	3	2	5	--	
7	8	5	4	3	6	--	
8	9	6	5	4	7	--	
9	1	7	6	5	8	--	
--	5	5	5	5	5	3	
--	1	1	1	1	1	3	
