1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	1	2	3	4	5	6	7	8	9	10	
1	11	22	10	30	9	8	28	25	31	7	6	29	5	26	24	23	27	4	3	2	2	3	4	27	23	24	26	5	29	6	7	31	25	28	8	9	30	10	22	11	
11	2	11	22	10	30	9	1	28	25	31	7	6	29	5	26	24	23	27	4	3	2	2	3	4	27	23	24	26	5	29	6	7	31	25	28	8	9	30	10	22	
22	11	3	11	22	10	30	9	8	28	25	31	7	6	29	5	26	24	23	27	4	3	2	2	3	4	1	23	24	26	5	29	6	7	31	25	28	8	9	30	1	
10	22	11	4	11	22	10	30	1	8	28	25	31	7	6	29	5	26	24	23	27	4	3	2	2	3	4	27	23	24	26	5	29	6	7	31	25	28	1	1	30	
30	10	22	11	5	11	22	10	30	9	8	28	25	31	7	6	29	5	26	24	23	27	4	3	2	2	3	4	27	23	24	26	5	29	6	7	31	25	28	8	9	
9	30	10	22	11	6	11	22	10	30	9	8	28	25	31	7	6	29	5	26	24	23	27	4	3	2	2	3	4	27	23	24	26	5	29	6	7	31	25	28	8	
8	9	30	10	22	11	7	11	22	1	30	9	8	28	25	31	7	6	29	5	26	24	1	27	4	3	2	2	3	4	27	23	24	26	5	29	1	1	31	25	28	
28	8	9	30	10	22	11	8	11	22	10	30	9	8	28	25	31	7	6	29	5	26	24	23	27	4	3	2	2	3	4	27	23	24	26	1	29	6	7	31	25	
25	28	8	9	30	10	22	11	9	11	22	10	30	9	8	28	25	31	7	6	29	5	26	1	23	27	4	3	2	2	3	4	27	23	24	26	5	29	6	7	31	
31	25	28	8	9	30	10	22	11	10	1	22	10	30	9	8	28	25	31	7	6	29	5	26	24	23	1	4	3	2	2	3	4	27	23	24	26	5	29	6	7	
7	31	25	28	8	9	30	10	22	11	11	11	22	10	30	9	8	28	25	31	7	6	29	5	26	24	23	27	4	3	2	2	3	4	27	23	24	26	5	29	6	
6	7	31	25	28	8	9	30	10	22	1	12	11	22	10	30	9	8	28	25	31	7	6	29	5	1	24	23	27	4	3	2	1	1	1	27	23	24	26	5	29	
29	6	7	31	25	28	8	9	30	1	22	11	13	11	22	10	30	9	8	28	25	31	7	6	29	5	26	24	23	27	4	3	1	2	3	4	27	23	24	26	5	
5	29	6	7	31	25	28	1	1	30	10	22	11	14	11	22	10	30	9	8	28	25	31	7	6	29	5	26	24	23	27	4	3	2	2	3	4	27	23	24	26	
