1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	1	2	3	4	5	6	7	8	
1	9	21	19	18	25	8	23	22	20	24	7	6	5	4	3	2	2	3	4	5	6	7	1	20	22	23	8	25	18	19	21	9	
9	2	9	21	19	18	25	1	23	22	20	24	7	6	5	4	3	2	2	3	4	5	6	7	24	20	22	23	8	25	18	19	21	
21	9	3	9	21	19	18	25	8	23	22	20	24	7	6	5	4	3	2	2	3	4	5	6	7	24	20	22	23	8	25	18	19	
19	21	9	4	9	21	19	18	25	8	23	22	20	24	7	6	5	4	3	2	2	3	4	5	6	7	24	20	22	23	8	25	18	
18	19	21	9	5	9	21	19	18	25	8	23	22	20	24	7	6	5	4	3	2	2	3	4	5	6	7	24	20	22	23	8	25	
25	18	19	21	9	6	9	21	19	18	25	8	23	22	20	24	7	6	5	4	3	2	2	3	4	5	6	7	24	20	22	23	1	
8	25	18	19	21	9	7	9	21	19	18	25	8	23	22	20	24	7	6	5	4	3	2	2	3	4	5	6	7	24	20	22	23	
23	8	25	18	19	21	9	8	1	21	19	18	25	8	23	22	20	24	7	6	5	4	3	2	2	3	4	5	6	7	24	20	22	
22	23	8	25	18	19	21	9	9	9	21	19	18	25	8	23	22	20	24	7	6	5	4	3	2	2	3	4	5	6	7	24	20	
20	22	23	8	25	18	19	21	1	10	9	21	19	18	25	8	23	22	20	24	7	6	5	4	3	2	1	1	1	1	1	1	24	
24	20	22	23	8	25	18	19	21	9	11	9	21	19	18	25	8	23	22	1	24	7	6	5	4	3	1	2	3	4	5	6	7	
7	24	20	22	23	8	25	18	19	21	9	12	9	21	19	18	25	8	23	22	20	24	7	6	5	4	3	2	2	3	4	5	6	
6	7	24	20	22	23	8	25	18	19	21	9	13	9	21	19	18	25	8	23	22	20	24	7	6	5	4	1	2	2	3	4	5	
5	6	7	24	20	22	23	1	25	18	19	21	9	14	9	21	19	1	25	8	23	1	20	1	7	6	5	4	3	2	2	3	4	
4	5	6	7	24	20	22	23	8	25	18	19	21	9	15	9	21	19	18	25	8	23	22	20	24	7	6	5	1	3	2	2	3	
3	4	5	6	7	24	20	22	23	8	25	18	19	21	9	16	9	21	1	18	25	8	1	22	20	24	7	6	5	4	3	2	2	
2	3	4	5	6	7	24	20	22	23	8	25	18	19	21	9	17	9	21	19	18	25	8	23	22	20	24	7	6	1	4	3	2	
2	1	1	1	1	1	1	24	20	22	23	8	25	18	19	21	9	18	9	21	19	18	25	8	23	22	20	24	7	6	5	4	3	
3	1	2	3	4	5	6	7	24	20	22	23	8	25	18	19	21	9	19	9	1	19	18	25	8	23	22	20	24	7	1	5	4	
4	3	2	2	3	4	5	6	7	24	20	22	23	8	25	18	19	21	9	20	9	21	19	18	1	8	23	22	20	24	7	6	5	
5	4	1	2	2	3	4	5	6	7	24	20	22	23	8	25	18	19	21	9	21	9	21	19	18	25	8	23	22	20	24	1	6	
6	5	4	3	2	2	3	4	5	6	7	24	20	22	23	8	25	1	1	21	9	22	9	21	19	18	25	8	23	22	20	24	7	
7	6	5	1	3	2	2	3	4	5	6	7	24	20	22	23	8	25	18	19	1	9	23	9	21	19	18	25	8	23	22	20	24	
24	7	6	5	4	3	2	2	3	4	5	6	7	24	20	22	23	8	25	18	19	21	9	24	9	21	19	18	25	8	23	22	20	
20	24	7	6	1	4	3	2	2	3	4	5	6	7	24	20	22	23	8	25	18	19	21	9	25	9	21	19	18	25	8	23	22	
22	20	24	7	6	5	4	3	2	2	3	4	5	6	7	24	20	22	23	8	25	18	19	21	9	1	9	21	19	18	25	8	23	
23	22	20	24	7	1	5	4	3	2	2	3	4	5	6	7	24	20	22	23	8	25	18	19	21	9	2	9	21	19	18	25	1	
8	23	22	20	24	7	6	5	4	3	2	2	3	4	5	6	7	24	20	22	23	8	25	18	19	21	9	3	9	21	19	18	25	
25	8	23	22	20	24	1	6	5	4	3	2	2	3	4	5	6	7	24	1	22	23	8	25	18	19	21	9	4	9	21	19	18	
18	25	8	23	22	20	24	7	6	5	4	3	2	2	3	4	5	6	7	24	20	1	1	8	1	18	19	21	9	5	9	21	19	
19	18	25	8	23	22	20	24	7	6	5	4	3	2	2	3	4	5	6	7	24	20	22	23	8	25	18	19	21	9	6	9	21	
