1	2	3	4	5	6	7	8	9	1
2	3	4	5	6	7	8	9	1	2
3	4	5	6	7	8	9	1	2	3
1	8	6	7	2	8	4	9	6	4
2	9	7	8	3	6	5	1	7	5
3	1	8	9	4	7	6	8	8	6
1	5	9	1	8	9	8	5	8	5
2	6	1	2	9	1	9	6	6	6
3	7	2	3	1	2	7	7	7	4
7	5	6	3	3	7	1	2	9	7
8	6	7	1	4	8	2	3	1	8
9	7	8	2	2	6	3	4	2	9
4	8	7	6	9	7	7	5	3	9
5	9	8	4	1	8	8	6	4	7
6	1	6	5	8	6	9	7	5	8
7	8	9	9	1	3	9	4	1	1
8	9	1	7	8	4	7	2	2	2
9	1	2	8	9	5	8	3	9	3
4	2	9	5	3	2	4	3	2	6
5	3	1	6	4	9	5	4	9	4
6	4	2	4	2	1	6	2	1	5
4	5	4	4	4	4	3	7	6	3
5	6	5	5	2	5	1	5	7	1
6	7	3	6	3	3	2	6	8	2
7	2	7	2	7	9	6	7	4	2
8	3	8	3	5	1	4	5	5	3
9	4	6	1	6	2	5	6	3	1
7	3	5	8	8	2	2	8	6	9
8	4	3	9	9	9	3	9	7	7
9	2	4	7	1	1	1	1	8	8
1	9	4	3	7	5	2	4	3	6
2	1	5	1	5	3	3	2	4	4
3	8	3	2	6	4	1	3	5	5
4	6	2	7	7	3	5	8	5	7
5	7	9	8	5	4	6	9	3	8
6	5	1	9	6	5	4	1	4	9
