1	3	5	7	9	11	13	15	17	19	21	23	25	1	3	5	7	3	11	1	5	11	3	1	9	15	17	7	23	7	17
2	4	6	8	10	12	14	16	18	20	22	24	26	2	4	6	8	4	12	2	6	12	4	2	10	16	18	8	24	8	18
1	23	19	9	5	25	21	7	3	3	7	21	1	5	9	19	23	23	13	21	17	12	19	15	1	19	11	17	21	13	23
2	24	20	10	6	26	22	8	4	4	8	22	2	6	10	20	24	24	14	22	18	11	20	16	2	20	12	18	22	14	24
23	4	23	19	1	5	25	21	7	4	3	7	21	25	5	9	19	19	9	1	25	21	7	3	3	7	21	25	5	9	19
24	3	24	20	2	6	26	22	8	3	4	8	22	26	6	10	20	20	10	2	26	22	8	4	4	8	22	26	6	10	20
19	24	6	23	19	9	5	25	21	7	4	3	7	21	25	1	9	17	11	19	15	15	19	11	17	21	13	23	25	25	25
20	23	5	24	20	10	6	26	22	8	3	4	8	22	26	2	10	18	12	20	16	16	20	12	18	22	14	24	26	26	26
9	19	23	7	23	19	9	5	25	21	7	4	3	7	21	25	5	5	25	22	1	3	4	7	21	25	5	9	19	23	1
10	20	24	8	24	20	10	6	26	22	8	3	4	8	22	26	6	6	26	21	2	4	3	8	22	26	6	10	20	24	2
5	9	19	23	10	23	19	9	5	25	1	8	3	3	7	21	25	19	23	5	23	19	9	5	25	22	7	3	3	7	21
6	10	20	24	9	24	20	10	6	26	2	7	4	4	8	22	26	20	24	6	24	20	10	6	26	21	8	4	4	8	22
25	5	9	19	23	11	23	19	9	5	25	21	8	4	1	7	21	21	7	3	3	7	21	25	5	9	1	23	24	24	20
26	6	10	20	24	12	24	20	10	6	26	22	7	3	2	8	22	22	8	4	4	8	22	26	6	10	2	24	23	23	19
21	25	1	9	20	23	13	23	19	9	5	25	21	7	1	3	1	11	1	13	9	15	17	8	15	8	18	15	9	14	3
22	26	2	10	19	24	14	24	20	10	6	26	22	8	2	4	2	12	2	14	10	16	18	7	16	7	17	16	10	13	4
7	21	25	5	2	20	24	16	23	1	9	5	1	22	8	3	3	19	11	17	21	13	23	25	16	25	23	13	22	17	11
8	22	26	6	1	19	23	15	24	2	10	6	2	21	7	4	4	20	12	18	22	14	24	26	15	26	24	14	21	18	12
3	7	21	25	5	9	20	23	18	23	19	9	5	26	22	7	3	13	23	25	7	25	24	1	21	1	12	19	15	15	19
