1	2	5	5	9	10	5	12	20	13	14	3	15	24	21	1	16	18	11	1	19	6	7	21	3	3	22	17	6	24	
2	3	6	6	10	11	5	13	21	14	15	4	16	1	22	4	17	19	12	3	20	7	8	22	5	4	23	18	3	1	
3	4	3	7	11	12	1	14	22	15	16	6	17	2	23	5	18	20	13	4	21	8	9	23	3	5	24	19	3	2	
4	5	1	8	12	13	2	15	23	16	17	4	18	3	24	2	19	21	14	5	22	9	10	24	3	6	1	20	5	3	
5	6	4	9	13	14	2	16	24	17	18	2	19	4	1	5	20	22	15	1	23	10	11	1	5	7	2	21	2	4	
6	7	5	10	14	15	2	17	1	18	19	6	20	5	2	6	21	23	16	6	24	11	12	2	4	8	3	22	4	5	
7	8	2	11	15	16	4	18	2	19	20	5	21	6	3	6	22	24	17	3	1	12	13	3	3	9	4	23	2	6	
8	9	1	12	16	17	1	19	3	20	21	1	22	7	4	6	23	1	18	2	2	13	14	4	5	10	5	24	6	7	
9	10	5	13	17	18	1	20	4	21	22	2	23	8	5	2	24	2	19	3	3	14	15	5	2	11	6	1	1	8	
10	11	4	14	18	19	4	21	5	22	23	4	24	9	6	1	1	3	20	4	4	15	16	6	4	12	7	2	1	9	
11	12	2	15	19	20	6	22	6	23	24	3	1	10	7	2	2	4	21	2	5	16	17	7	4	13	8	3	3	10	
12	13	1	16	20	21	5	23	7	24	1	5	2	11	8	3	3	5	22	4	6	17	18	8	2	14	9	4	4	11	
13	14	6	17	21	22	3	24	8	1	2	5	3	12	9	5	4	6	23	5	7	18	19	9	4	15	10	5	6	12	
14	15	6	18	22	23	6	1	9	2	3	2	4	13	10	6	5	7	24	4	8	19	20	10	1	16	11	6	5	13	
15	16	1	19	23	24	3	2	10	3	4	2	5	14	11	1	6	8	1	6	9	20	21	11	6	17	12	7	3	14	
16	17	3	20	24	1	4	3	11	4	5	3	6	15	12	3	7	9	2	6	10	21	22	12	5	18	13	8	5	15	
17	18	4	21	1	2	6	4	12	5	6	6	7	16	13	3	8	10	3	3	11	22	23	13	6	19	14	9	6	16	
18	19	5	22	2	3	3	5	13	6	7	4	8	17	14	3	9	11	4	2	12	23	24	14	1	20	15	10	2	17	
19	20	2	23	3	4	5	6	14	7	8	1	9	18	15	5	10	12	5	6	13	24	1	15	1	21	16	11	1	18	
20	21	4	24	4	5	1	7	15	8	9	3	10	19	16	4	11	13	6	5	14	1	2	16	1	22	17	12	4	19	
21	22	3	1	5	6	6	8	16	9	10	1	11	20	17	1	12	14	7	5	15	2	3	17	2	23	18	13	2	20	
22	23	2	2	6	7	3	9	17	10	11	6	12	21	18	4	13	15	8	1	16	3	4	18	2	24	19	14	5	21	
23	24	3	3	7	8	2	10	18	11	12	5	13	22	19	4	14	16	9	2	17	4	5	19	6	1	20	15	1	22	
24	1	6	4	8	9	4	11	19	12	13	1	14	23	20	2	15	17	10	1	18	5	6	20	6	2	21	16	4	23	
1	3	11	9	16	18	11	21	6	24	2	9	4	14	12	7	10	15	7	7	22	11	5	13	9	20	24	23	12	19	
2	4	12	10	17	19	11	22	7	1	3	10	5	15	13	10	11	16	8	9	23	12	6	14	11	21	1	24	9	20	
3	5	9	11	18	20	7	23	8	2	4	12	6	16	14	11	12	17	9	10	24	13	7	15	9	22	2	1	9	21	
4	6	7	12	19	21	8	24	9	3	5	10	7	17	15	8	13	18	10	11	1	14	8	16	9	23	3	2	11	22	
5	7	10	13	20	22	8	1	10	4	6	8	8	18	16	11	14	19	11	7	2	15	9	17	11	24	4	3	8	23	
6	8	11	14	21	23	8	2	11	5	7	12	9	19	17	12	15	20	12	12	3	16	10	18	10	1	5	4	10	24	
7	9	8	15	22	24	10	3	12	6	8	11	10	20	18	12	16	21	13	9	4	17	11	19	9	2	6	5	8	1	
8	10	7	16	23	1	7	4	13	7	9	7	11	21	19	12	17	22	14	8	5	18	12	20	11	3	7	6	12	2	
9	11	11	17	24	2	7	5	14	8	10	8	12	22	20	8	18	23	15	9	6	19	13	21	8	4	8	7	7	3	
10	12	10	18	1	3	10	6	15	9	11	10	13	23	21	7	19	24	16	10	7	20	14	22	10	5	9	8	7	4	
11	13	8	19	2	4	12	7	16	10	12	9	14	24	22	8	20	1	17	8	8	21	15	23	10	6	10	9	9	5	
12	14	7	20	3	5	11	8	17	11	13	11	15	1	23	9	21	2	18	10	9	22	16	24	8	7	11	10	10	6	
13	15	12	21	4	6	9	9	18	12	14	11	16	2	24	11	22	3	19	11	10	23	17	1	10	8	12	11	12	7	
14	16	12	22	5	7	12	10	19	13	15	8	17	3	1	12	23	4	20	10	11	24	18	2	7	9	13	12	11	8	
15	17	7	23	6	8	9	11	20	14	16	8	18	4	2	7	24	5	21	12	12	1	19	3	12	10	14	13	9	9	
16	18	9	24	7	9	10	12	21	15	17	9	19	5	3	9	1	6	22	12	13	2	20	4	11	11	15	14	11	10	
17	19	10	1	8	10	12	13	22	16	18	12	20	6	4	9	2	7	23	9	14	3	21	5	12	12	16	15	12	11	
18	20	11	2	9	11	9	14	23	17	19	10	21	7	5	9	3	8	24	8	15	4	22	6	7	13	17	16	8	12	
19	21	8	3	10	12	11	15	24	18	20	7	22	8	6	11	4	9	1	12	16	5	23	7	7	14	18	17	7	13	
20	22	10	4	11	13	7	16	1	19	21	9	23	9	7	10	5	10	2	11	17	6	24	8	7	15	19	18	10	14	
21	23	9	5	12	14	12	17	2	20	22	7	24	10	8	7	6	11	3	11	18	7	1	9	8	16	20	19	8	15	
22	24	8	6	13	15	9	18	3	21	23	12	1	11	9	10	7	12	4	7	19	8	2	10	8	17	21	20	11	16	
23	1	9	7	14	16	8	19	4	22	24	11	2	12	10	10	8	13	5	8	20	9	3	11	12	18	22	21	7	17	
24	2	12	8	15	17	10	20	5	23	1	7	3	13	11	8	9	14	6	7	21	10	4	12	12	19	23	22	10	18	
1	4	17	12	13	2	17	6	16	11	7	15	10	21	3	13	5	8	20	13	24	9	19	5	15	14	23	3	18	15	
2	5	18	13	14	3	17	7	17	12	8	16	11	22	4	16	6	9	21	15	1	10	20	6	17	15	24	4	15	16	
3	6	15	14	15	4	13	8	18	13	9	18	12	23	5	17	7	10	22	16	2	11	21	7	15	16	1	5	15	17	
4	7	13	15	16	5	14	9	19	14	10	16	13	24	6	14	8	11	23	17	3	12	22	8	15	17	2	6	17	18	
5	8	16	16	17	6	14	10	20	15	11	14	14	1	7	17	9	12	24	13	4	13	23	9	17	18	3	7	14	19	
6	9	17	17	18	7	14	11	21	16	12	18	15	2	8	18	10	13	1	18	5	14	24	10	16	19	4	8	16	20	
7	10	14	18	19	8	16	12	22	17	13	17	16	3	9	18	11	14	2	15	6	15	1	11	15	20	5	9	14	21	
8	11	13	19	20	9	13	13	23	18	14	13	17	4	10	18	12	15	3	14	7	16	2	12	17	21	6	10	18	22	
9	12	17	20	21	10	13	14	24	19	15	14	18	5	11	14	13	16	4	15	8	17	3	13	14	22	7	11	13	23	
10	13	16	21	22	11	16	15	1	20	16	16	19	6	12	13	14	17	5	16	9	18	4	14	16	23	8	12	13	24	
11	14	14	22	23	12	18	16	2	21	17	15	20	7	13	14	15	18	6	14	10	19	5	15	16	24	9	13	15	1	
12	15	13	23	24	13	17	17	3	22	18	17	21	8	14	15	16	19	7	16	11	20	6	16	14	1	10	14	16	2	
13	16	18	24	1	14	15	18	4	23	19	17	22	9	15	17	17	20	8	17	12	21	7	17	16	2	11	15	18	3	
14	17	18	1	2	15	18	19	5	24	20	14	23	10	16	18	18	21	9	16	13	22	8	18	13	3	12	16	17	4	
15	18	13	2	3	16	15	20	6	1	21	14	24	11	17	13	19	22	10	18	14	23	9	19	18	4	13	17	15	5	
16	19	15	3	4	17	16	21	7	2	22	15	1	12	18	15	20	23	11	18	15	24	10	20	17	5	14	18	17	6	
17	20	16	4	5	18	18	22	8	3	23	18	2	13	19	15	21	24	12	15	16	1	11	21	18	6	15	19	18	7	
18	21	17	5	6	19	15	23	9	4	24	16	3	14	20	15	22	1	13	14	17	2	12	22	13	7	16	20	14	8	
19	22	14	6	7	20	17	24	10	5	1	13	4	15	21	17	23	2	14	18	18	3	13	23	13	8	17	21	13	9	
20	23	16	7	8	21	13	1	11	6	2	15	5	16	22	16	24	3	15	17	19	4	14	24	13	9	18	22	16	10	
21	24	15	8	9	22	18	2	12	7	3	13	6	17	23	13	1	4	16	17	20	5	15	1	14	10	19	23	14	11	
22	1	14	9	10	23	15	3	13	8	4	18	7	18	24	16	2	5	17	13	21	6	16	2	14	11	20	24	17	12	
23	2	15	10	11	24	14	4	14	9	5	17	8	19	1	16	3	6	18	14	22	7	17	3	18	12	21	1	13	13	
24	3	18	11	12	1	16	5	15	10	6	13	9	20	2	14	4	7	19	13	23	8	18	4	18	13	22	2	16	14	
1	5	23	15	6	17	23	16	10	9	13	21	24	8	19	19	18	7	22	19	20	21	2	14	21	9	3	11	24	12	
2	6	24	16	7	18	23	17	11	10	14	22	1	9	20	22	19	8	23	21	21	22	3	15	23	10	4	12	21	13	
3	7	21	17	8	19	19	18	12	11	15	24	2	10	21	23	20	9	24	22	22	23	4	16	21	11	5	13	21	14	
4	8	19	18	9	20	20	19	13	12	16	22	3	11	22	20	21	10	1	23	23	24	5	17	21	12	6	14	23	15	
5	9	22	19	10	21	20	20	14	13	17	20	4	12	23	23	22	11	2	19	24	1	6	18	23	13	7	15	20	16	
6	10	23	20	11	22	20	21	15	14	18	24	5	13	24	24	23	12	3	24	1	2	7	19	22	14	8	16	22	17	
7	11	20	21	12	23	22	22	16	15	19	23	6	14	1	24	24	13	4	21	2	3	8	20	21	15	9	17	20	18	
8	12	19	22	13	24	19	23	17	16	20	19	7	15	2	24	1	14	5	20	3	4	9	21	23	16	10	18	24	19	
9	13	23	23	14	1	19	24	18	17	21	20	8	16	3	20	2	15	6	21	4	5	10	22	20	17	11	19	19	20	
10	14	22	24	15	2	22	1	19	18	22	22	9	17	4	19	3	16	7	22	5	6	11	23	22	18	12	20	19	21	
11	15	20	1	16	3	24	2	20	19	23	21	10	18	5	20	4	17	8	20	6	7	12	24	22	19	13	21	21	22	
12	16	19	2	17	4	23	3	21	20	24	23	11	19	6	21	5	18	9	22	7	8	13	1	20	20	14	22	22	23	
13	17	24	3	18	5	21	4	22	21	1	23	12	20	7	23	6	19	10	23	8	9	14	2	22	21	15	23	24	24	
14	18	24	4	19	6	24	5	23	22	2	20	13	21	8	24	7	20	11	22	9	10	15	3	19	22	16	24	23	1	
15	19	19	5	20	7	21	6	24	23	3	20	14	22	9	19	8	21	12	24	10	11	16	4	24	23	17	1	21	2	
16	20	21	6	21	8	22	7	1	24	4	21	15	23	10	21	9	22	13	24	11	12	17	5	23	24	18	2	23	3	
17	21	22	7	22	9	24	8	2	1	5	24	16	24	11	21	10	23	14	21	12	13	18	6	24	1	19	3	24	4	
